ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,,,,false,,源类型=type:exeBC; 层级=0
2,旁白,hide,,,,你的指尖在左侧按钮的上方悬停了半秒——然后，在克拉克来得及阻止你之前，迅速落了下去。,,,,,源类型=type:txt_pb; 层级=1
19,旁白,hide,,,,,,,,,源类型=type:exeBC; 层级=2
20,旁白,hide,,,,按下去的那一瞬间，一种近乎麻木的清醒裹挟了你全身的感官，左边是克拉克惊怒的喝止，身后亚波伦带着了然的轻笑，只有时钟滴答声还在空旷的房间里清晰地回荡。,,,,"loadScript(sntzm_ending4(1), 1)","源类型=type:txt_pb; 层级=3; wherelist={""wheretype"":""1"",""wheredatas"":[{""sortnum"":""1"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""无视飞蛾（克拉克）"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]}]}; gotomainline=结局4_1"
21,旁白,hide,,,,“啪”,,,,,"源类型=type:txt_pb; 层级=3; wherelist={""wheretype"":""1"",""wheredatas"":[{""sortnum"":""1"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""相信索菲亚"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]}]}"
51,旁白,hide,,,,耳畔骤然响起一声脆响，那并非指尖触碰按键的动静，而是掌心与手背相互撞击、血肉相撞所发出的声响。,,,,,源类型=type:txt_pb; 层级=4
52,旁白,hide,,,,它的力度不大，但速度很快，带着和你一样的不容动摇的决心，一巴掌拍开了你按向按钮的手手心。,,,,,源类型=type:txt_pb; 层级=5
53,索菲亚,hide,Sophia_default,,,别按。,,,,"charfadein(L,1)",源类型=type:txt_Sophia; 层级=6
54,旁白,hide,Sophia_default,,,一个熟悉的女声传了过来，冷静、清冽，在你心急如焚的，着了魔的思绪中恰如其分地浇下了一盆冷水。然后，在这股邪火再一次烧起来之前，一双粗壮有力的手臂及时从身后压制住了你的一切行动。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=7
55,克拉克,hide,Clark_default,,,做得好，索菲亚。,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=8
56,旁白,hide,Clark_default,,,他朝身侧微微带了点力度，把你从那个如同潘多拉魔盒的按钮旁强行拽开出一小段距离。被杰森划伤的小臂因这个动作再一次撕裂开来。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=9
57,旁白,hide,,,,血珠蹭过你的衣领，那温热粘稠的触感像浇入冷灶的一滴热油。瞬间将你从亚波伦那关于真相的承诺中拉回到当下，拉回到这个大卫刚刚得救的瞬间。,,,,,源类型=type:txt_pb; 层级=10
58,克拉克,hide,Clark_default,,,你疯了！那可是......大卫，无论对方答应了我们什么条件，我们都不能拿人命去做交换！,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=11
59,旁白,hide,Clark_default,,,克拉克显然还沉浸在数秒前险些失去同伴的惊骇与愤怒中，胸膛贴在你的后背上剧烈起伏着，那双牢牢捆住你的手臂一刻也没有放松压制的力道。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=12
60,旁白,hide,,,,但索菲亚已经看到了更远，亦看到了问题的根本所在——只要你们一刻不知晓真相的全貌，你们就一刻是被亚波伦玩弄于股掌之间的棋子。,,,,,源类型=type:txt_pb; 层级=13
61,索菲亚,hide,Sophia_default,,,够了！,,,,"charfadein(L,1)",源类型=type:txt_Sophia; 层级=14
62,旁白,hide,Sophia_default,,,她的声音并不尖锐，但却同时镇住了纠缠中的你们两人。五根纤细的手指紧紧扣着白大褂的衣角，力度大得几乎要把上面的布料扯烂。像是在长时间的隐瞒和压抑后终于迎来了最为彻底的爆发。,,,,,源类型=type:txt_pb; 层级=15
63,索菲亚,hide,Sophia_default,,,你们无需受他的摆布，我来告诉你们真相。,,,,,源类型=type:txt_Sophia; 层级=16
64,旁白,hide,Sophia_default,,,她迅速瞄了眼还剩大约1分40秒的计时装置，思考着如何以最言简意赅的言语提炼出关于“逐光计划”的所有要点。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=17
65,索菲亚,hide,,,,你们从来都不是什么FBI......这里也根本不是什么医院，而是用造梦设备编织的虚假梦境，这里的所有人......,,,,,源类型=type:txt_Sophia; 层级=18
66,旁白,hide,,,,她深吸一口气，只为支撑自己把这句话说完。,,,,,源类型=type:txt_pb; 层级=19
67,索菲亚,hide,Sophia_default,,,全都站在在盖曼的脑子里。,,,,"charfadein(L,1)",源类型=type:txt_Sophia; 层级=20
