ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,克拉克的无线电信号最后一次出现是在医院四层的位置，并且持续了大约2分钟才被掐断。尽管存在陷阱的可能，你们也愿意为了这个一同出生入死的同伴赌上一把。,,,false,,源类型=type:txt_pb; 层级=0
93,旁白,hide,,,,你们并肩走入通往四层的楼梯转角，冷硬的水泥台阶积着薄薄一层灰，每一步踩上去都能留下清晰的脚印，像是在给隐藏在暗处的眼睛记录着你们的行踪。,,,,,源类型=type:txt_pb; 层级=1
2,旁白,hide,,,,大卫的磁带和那块属于姐姐的记者证随着腰包的甩荡轻轻摇晃着，像两块沉甸甸的石头压在你们的胸口，没有人开口说多余的话，只有手电的光在斑驳的墙面上来回晃动，照得那些不知道是谁留下的涂鸦忽明忽暗。,,,,,源类型=type:txt_pb; 层级=2
3,旁白,hide,,,,两双质地各异的靴子在坑洼的地面上不断撞出急促的轻响，如同某种致命的节拍在你们耳边回荡。,,,,,源类型=type:txt_pb; 层级=3
4,旁白,hide,,,,一只飞蛾沿着你们跑动的方向啪嗒着翅膀，每一次翅膀的扇动都会剥落一层惨白的粉尘，在你们身后形成一道细碎的光带。,,,,,源类型=type:txt_pb; 层级=4
5,旁白,hide,,,,你起初并未在意，可当那只白色的生物轻飘飘擦过你冒着汗的手腕时，脑海中却突然传来了一阵细微的耳语。,,,,,源类型=type:txt_pb; 层级=5
6,？？？,hide,,,,“留下来......”,,,,,源类型=type:txt_Un; 层级=6
7,旁白,hide,,,,那声音细得像根生锈的针，轻轻刮过你的后颈，你浑身的汗毛瞬间竖了起来，猛地旋过身拧亮手电，光圈摇曳着扫过空荡荡的走廊墙壁，却未能触及半分人类的轮廓，只有那只白色的飞蛾在手电微弱的光晕里打着旋儿。,,,,,源类型=type:txt_pb; 层级=7
8,大卫,hide,David_bandage,,,怎么？又对这只破蛾子产生了兴趣？,,,,"charfadein(L,1)",源类型=type:txt_David; 层级=8
9,旁白,hide,David_bandage,,,没等你进一步在这片黑暗中锁定声音的来源，耳边便传来了大卫毫不留情的偷挪，他停在楼梯转角半层的位置回头看你，手电光亮得晃眼。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=9
10,旁白,hide,,,,充满磁性的低音在潮湿的空气中蒸开一片热雾，越发衬得那声呼唤像某种空穴来风的幻听。,,,,,源类型=type:txt_pb; 层级=10
11,旁白,hide,,,,对于这个小小的异常，你是否打算进行调查？,,,,,源类型=type:txt_pb; 层级=11
12,旁白,hide,,,,,,,,choice(仔细端详飞蛾|jump(15))&choice(装作无事离开|jump(94)),源类型=type:selectBC; 层级=12
13,旁白,hide,,,,,,,,,源类型=type:txt_pb; 层级=13
15,旁白,hide,,,,你没有立即回话，只是眯起眼睛，仔细端详起那只停在走廊扶手上的微小白影，它的翅膀在静止状态下呈现出病怏怏的灰白，表面的纹理脉络凹凸分明，像一条条被人解剖后泡在营养液里的大脑沟壑。,,,,"bgfade(sntzm_clark3F(2)_18,1)",源类型=type:txt_pb; 层级=14; 选项/备注=这一定有什么古怪; tag=端详飞蛾（大卫）
16,你,hide,,,,你没听到吗？刚才的声音。,,,,,源类型=type:txt_You; 层级=15
17,旁白,hide,,,,你用眼角的余光向身旁一瞥，目之所及之处是大卫那张被你过度旺盛的好奇心惹得有些不耐烦的冷脸。,,,,,源类型=type:txt_pb; 层级=16
19,旁白,hide,,,,,,,,,源类型=type:exeBC; 层级=17
20,大卫,hide,David_bandage,,,没有，我现在满脑子都是刚才听到的那些东西，阿兰的那场官司......还有你提到的那场幻觉。,,,,"charfadein(L,1)","源类型=type:txt_David; 层级=18; wherelist={""wheretype"":""1"",""wheredatas"":[{""sortnum"":""1"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""深入探究"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]}]}"
