ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,,,,false,,源类型=type:exeBC; 层级=0
2,旁白,hide,,,,然而，正当你们双双沉浸在这铺天盖地的自责与悲痛中时，那个一直被你们忽视的变量却在身后发出了极轻的抖动声。,,litesaturation-horror,,,源类型=type:txt_pb; 层级=1
6,旁白,hide,,,,等你终于回头，并注意到这个微妙的细节时，男孩已经悄无声息地从地上爬起，被铐住的手里紧紧攥着艾米丽的名牌。,,,,,源类型=type:txt_pb; 层级=2
7,你,hide,,,,杰森......!,,,,,源类型=type:txt_You; 层级=3
8,旁白,hide,,,,你刚打算上前阻止，不料克拉克却抢先一步，黑洞洞的枪口直指男孩的头颅。但杰森此刻已听不进任何的警告，对于一个盲人而言，朝他肩膀开枪的那声枪响，远比此刻看不见的枪口更有说服力。,,,,,源类型=type:txt_pb; 层级=4
9,旁白,hide,,,,只见他压低身子，朝着楼梯口的更深处猛地弹射而出。,,,,"bgfade(sntzm_ss_9,1)",源类型=type:txt_pb; 层级=5
10,旁白,hide,,,,克拉克的手指几乎已经扣在配枪的扳机上，但当他回想起杰森口中那些真实存在过的，地狱般的童年经历时。那颗承载着对大卫悲痛的子弹，终究还是被更深的愧疚卡在了枪膛里。,,,,,源类型=type:txt_pb; 层级=6
82,旁白,hide,,,,很快，这只瘦小的人影便再一次消失在了你们的眼前，被楼梯拐角的阴影所吞噬。你知道，他肯定回去找他的“老师”了，那个把他从地狱里捞出来，又不停往他伤口撒盐的魔鬼。,,,,"bgfade(sntzm_clark5_38,1)",源类型=type:txt_pb; 层级=6
11,克拉克,hide,Clark_default,,,亚当......,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=7
12,旁白,hide,Clark_default,,,克拉克突然开口了，目光寸步不离地守在杰森消失的方向。,,,,,源类型=type:txt_pb; 层级=8
61,旁白,hide,Clark_default,,,,,,,,源类型=type:exeBC; 层级=9
13,克拉克,hide,Clark_default,,,刚才发生的事情，等回到总部，我会向上级如实汇报。,,,,,"源类型=type:txt_Clark; 层级=10; wherelist={""wheretype"":""1"",""wheredatas"":[{""sortnum"":""1"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""开枪"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]}]}"
14,旁白,hide,Clark_default,,,他的声音很低，却异常的坚定。你能从中感受到他对程序正义的执着，也能品出他对刚才阻止你的决定的无悔，那是大卫宁可牺牲生命也希望看到的品质，而这个年轻人毫无疑问继承了这份坚守。,,,,,源类型=type:txt_pb; 层级=11
15,克拉克,hide,Clark_default,,,但一切还没有结束，我们需要活下来，完成任务。并且找到大卫，无论最后发现的是活人，还是他的尸体。,,,,,源类型=type:txt_Clark; 层级=12
16,克拉克,hide,Clark_default,,,只是......如果我们遭遇了广播里的那个男人，当我为了给大卫复仇而向他开枪时，请你务必，像我刚才阻止你一样，阻止我。,,,,,源类型=type:txt_pb; 层级=13
17,克拉克,hide,Clark_default,,,这不是因为仁慈......,,,,,源类型=type:txt_Clark; 层级=14
18,旁白,hide,Clark_default,,,他缓慢地解释道。,,,,,源类型=type:txt_pb; 层级=15
19,克拉克,hide,Clark_default,,,我们需要他身上的情报，来知道这所精神病院到底发生了什么。发掘并揭露这里的一切，远比惩戒他一个人更为重要。,,,,,源类型=type:txt_Clark; 层级=16
20,旁白,hide,Clark_default,,,你没有说话，只是郑重地点了点头，弯腰捡起刚才被扔在地上的弹夹重新装回弹槽，在那一刻......你感觉自己拾回的不止是一只弹夹，还有身为一名探员的宝贵的初心。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=17
21,旁白,hide,,,,,,,,,源类型=type:exeBC; 层级=18
22,旁白,hide,,,,出发吧，夜莺说的应急通道就在上面不远。,,,,jump(24),"源类型=type:txt_pb; 层级=19; wherelist={""wheretype"":""1"",""wheredatas"":[{""sortnum"":""1"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""夜莺线"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]}]}; gotomainline=24"
81,旁白,hide,,,,（未完待续）,,,,,源类型=type:txt_pb; 层级=20; [ToBeContinued]
