ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,当他们还奔波于与黑帮的明争暗斗，自以为服务于更高的正义时。却有一群本该享有保护的孩子，在法律照不到的阴影里，承受着远超他们想象的非人的折磨。,,,false,,源类型=type:txt_pb; 层级=0
2,旁白,hide,,,,继续追问细节可能会刺激他敏感的神经，为此你打算优先切换到哪个话题？,,suspense-tense-background-music,,"bgfade(sntzm_clark3_2,1)",源类型=type:txt_pb; 层级=1
3,旁白,hide,,,,,,,,choice(询问关于艾米丽的事情|jump(4))&choice(询问有关大卫的线索|jump(5)),源类型=type:selectBC; 层级=2
4,旁白,hide,,,,询问关于艾米丽的事情,,,,,源类型=type:txt_pb; 层级=3; tag=问艾米丽
6,旁白,hide,,,,你深吸一口气，勉强克制住心中复杂的情绪波动，将话口转向另一个他似乎十分在意的话题。,,,,,源类型=type:txt_pb; 层级=4
7,你,hide,,,,那艾米丽呢？那位B2—15病房的病.......,,,,,源类型=type:txt_You; 层级=5
9,网瘾学徒,hide,wy_w,,,她没病！你这蠢货！,,,,"charfadein(L,1)",源类型=type:txt_Wyxt; 层级=6
10,旁白,hide,wy_w,,,男孩猛地打断了你，空洞的眼眶转了过来，死死盯着声音传来的方向。,,,,,源类型=type:txt_pb; 层级=7
11,网瘾学徒,hide,wy_w,,,她原本就不该进到那个地方，是为了救我，为......为了带我们出去，才假扮成被父母送进来的问题儿童，混入了我们之间。,,,,,源类型=type:txt_Wyxt; 层级=8
12,网瘾学徒,hide,wy_w,,,她对那里的每一个人都很温柔......我眼睛不好，她就每天给我讲窗外的梧桐树，讲食堂飘出来的烤面包香，说等我们出去了，要一起去海边看日出。,,,,,源类型=type:txt_Wyxt; 层级=9
13,旁白,hide,wy_w,,,他的声音越来越大，随着回忆的深入，渐渐地染上了一丝浑浊的哭腔。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=10
14,网瘾学徒,hide,,,,她那天本来有机会带着证据逃走的，如果不是为了救我，为了从教官的棍棒下保护我的话......,,,,"bgfade(sntzm_emily_14,1)&unlockscene(emily_14)",源类型=type:txt_Wyxt; 层级=11
15,旁白,hide,,,,“Pang！”,,,,"shake(screen,0.5,5)",源类型=type:txt_pb; 层级=12
16,艾米丽,hide,,Emily_default,,够了，这不是他的错。,,,,"charfadein(M,1)",源类型=type:txt_Aml; 层级=13
17,教官A,hide,jiaoguan_default,Emily_default,,你算哪根葱？给老子滚开！这小子今早上连被子都敢不叠，不好好收拾收拾明天只怕是要翻天！,,,,"charfadein(L,1)&charfadeout(M,1)",源类型=type:txt_Jga; 层级=14
18,旁白,hide,jiaoguan_default,,,话音刚落，这个满脸横肉的壮汉便一脸不耐烦地朝艾米丽的肚子踢去，粗粝的皮靴带着阴狠的力道重重印在她的小腹上，痛的她倒吸一口凉气，向后倒去。,,,,"bgfade(sntzm_emily_18,1)&charfadeout(L,1)",源类型=type:txt_pb; 层级=15
19,杰森,hide,wy_child,,,姐姐！,,,,"charfadein(L,1)",源类型=type:txt_Js; 层级=16
