ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,,,,false,,源类型=type:txt_pb; 层级=0
2,旁白,hide,,,,你点点头，向后拉动套筒，为自己的配枪装填上一发全新的子弹。你们的脚步很慢、很稳，几乎背靠着背向前挪动。,,alex-morgan-dark-suspense-thriller,,"bgfade(sntzm_clark3_2,1)&unlockscene(clark3_2)&unlockmusic(Music14)",源类型=type:txt_pb; 层级=1
3,旁白,hide,,,,克拉克的枪管死死盯着转角处的阴影，你则牢牢护着他后背，随时准备应对从任何方向窜出的任何东西。,,,,,源类型=type:txt_pb; 层级=2
4,旁白,hide,,,,这段距离不足50米，感觉上却仿佛过了一个世纪，尤其是当你们从那条机械臂的下方小心翼翼地钻过时，你甚至能感觉到空气中那些若有若无的电流正蹭过你的后颈，带着一丝细微的麻痒，像是有双看不见的手正轻轻贴在那里,,,,,源类型=type:txt_pb; 层级=3
5,旁白,hide,,,,直到整个人安全走过那片区域，你才发现后脊已经生出了一层带着凉意的薄汗。,,,,,源类型=type:txt_pb; 层级=4
6,旁白,hide,,,,那枚黄铜色的弹壳依旧安安静静躺在墙角，像一个睡美人，等待着被某种东西重新赋予生机。,,,,"bgfade(sntzm_clark3_6,1)",源类型=type:txt_pb; 层级=5
7,旁白,hide,,,,克拉克走近了它，用那只戴着手套的左手将它缓缓拾起，漆黄的表面在月光下透着淡银的金属光泽，仔细端详，能从上面捕捉到一层带着湿气的烟灰。,,,,,源类型=type:txt_pb; 层级=6
8,旁白,hide,,,,他轻轻捻开那层烟灰，凑到鼻端闻了闻，烟味还很新鲜，说明留下这枚弹壳的人，离开这里还不到半小时。,,,,,源类型=type:txt_pb; 层级=7
9,克拉克,hide,Clark_confused,,,是骆驼牌，大卫从来不抽这种混合型烟，他只抽本地产的烤烟。,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=8
10,旁白,hide,Clark_confused,,,你心头一惊，这句话直接印证了你们此前的猜测——这枚弹壳并非由大卫亲自射出，而是某人为了引诱你们故意留下的诱饵。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=9
11,旁白,hide,,,,你正想说些什么，脚下突然踢到了一个软乎乎的东西，你猛地挪开脚，用电筒照过去，一块被鲜血浸成暗红的绷带赫然映入眼帘。绷带的纤维还保留着一定韧性，没有完全被灰尘板结变硬。,,,,"bgfade(sntzm_clark3_11,1)",源类型=type:txt_pb; 层级=10
12,旁白,hide,,,,就在你打算将这个发现告诉同伴时，一滴鲜血落了下来，带着温热的触感，不偏不倚正巧滴在了你的手背上。,,,,"bgfade(sntzm_clark3_12,1)",源类型=type:txt_pb; 层级=11
13,你,hide,,,,！！！,,,,,源类型=type:txt_You; 层级=12
14,旁白,hide,,,,你几乎是立刻抬起头，手电光柱直直朝天花板射去——只见斑驳脱落的墙皮上，一双黑洞洞的眼窝正与你“四目相对”。,,,,"bgfade(sntzm_clark3_14,1)",源类型=type:txt_pb; 层级=13
15,旁白,hide,,,,那对失去了眼球的眼眶依旧在不断渗出血液，顺着塌陷的眉骨往下滑落，一滴接着一滴砸在你脚边的地板上。,,,,,源类型=type:txt_pb; 层级=14
16,旁白,hide,,,,不是左，不是右，更不是前后，而是......上——那个之前把你们引到这儿来的盲眼小孩，正通过一根绳子将自己挂在天花板上的横梁上，像一直蓄势待发的蜘蛛，居高临下地看着你们。,,,,,源类型=type:txt_pb; 层级=15
17,旁白,hide,,,,克拉克瞬间举枪瞄准，声音中再无之前的柔和与克制，只有被夺走同伴后，压抑不住的怒火。,,,,,源类型=type:txt_pb; 层级=16
18,克拉克,hide,Clark_withgun,,,下来。,,,,"charfadein(L,0.5)",源类型=type:txt_Clark; 层级=17
19,旁白,hide,Clark_withgun,,,他冷冰冰地命令道，这是你平生第三次听到他用这种语气对人开口讲话.......如果那东西真的可以算是人类的话。,,,,,源类型=type:txt_pb; 层级=18
20,旁白,hide,Clark_withgun,,,砰！,,,,"shake(screen,0.2,5)&charfadeout(L,1)",源类型=type:txt_pb; 层级=19
21,旁白,hide,,,,表面的僵持仅持续了一秒，炙热的子弹便从克拉克的枪口飞射而出，带着凌厉的破空之声，分毫不差地射断了悬挂男孩的粗绳。,,,,,源类型=type:txt_pb; 层级=20
22,旁白,hide,,,,瘦小的身躯重重摔落下来，扬起漫天灰尘，你攥紧了手里的枪死死盯着他，却见他只是抱着头蜷在地上，自始至终没有发出半点声音，只有鼻血混着鼻涕顺着指缝不断往外涌。,,,,,源类型=type:txt_pb; 层级=21
23,克拉克,hide,Clark_withgun,,,说！大卫在哪里？,,,,"charfadein(L,0.5)",源类型=type:txt_Clark; 层级=22
24,旁白,hide,Clark_withgun,,,又是一记雷鸣般的枪响，承载着克拉克对先前手软的悔恨，在男孩耳边猛地炸开。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=23
25,旁白,hide,,,,他几乎缩成了一只蛹，小小的身子颤抖地像被人电击过，狼狈而又可怜的模样让你忍不住怀疑克拉克做的是否有点太过，尤其是对于一个看上去未足20的男孩来说。,,,,"bgfade(sntzm_clark3_25,1)",源类型=type:txt_pb; 层级=24
26,旁白,hide,,,,但下一秒，这种想法便被一阵阴沉的笑声无情揉碎，那笑声不像是从一个孩子喉咙里发出来的，更像是一个饱经沧桑的成年男人，被掐住脖子时从肺缝里挤出来的低哑叫唤。,,,,,源类型=type:txt_pb; 层级=25
27,网瘾学徒,hide,,,,他......已经去了该去的地方，回到了老师的身边。,,,,,源类型=type:txt_Wyxt; 层级=26
28,旁白,hide,,,,他的声音干巴巴的，像枯萎的树叶贴墙摩擦时发出的咔咔声。半坐在地身子此刻正对着克拉克的方向，仿佛能透过这对空洞洞的眼窝，看到他脸上极其复杂的表情。,,,,,源类型=type:txt_pb; 层级=27
