ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,他的语气低沉下来，戏谑与讥讽逐渐褪去，转而化作一种近乎质问的责备。这是一个富有情感的问句，让你一时分不清它到底是亚波伦说的，还是这幅身体的主人自己说的。,,,false,,源类型=type:txt_pb; 层级=0
2,旁白,hide,,,,,,,,,源类型=type:exeBC; 层级=1
3,大卫//亚波伦,hide,,,,你想要真相，我手里正好有一些只有我自己知道，就连我的好徒弟也闻所未闻的“独家爆料”，你可要听好了，格莱特记者。,,,,,"源类型=type:txt_DVABL; 层级=2; wherelist={""wheretype"":""2"",""wheredatas"":[{""sortnum"":""1"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""端详飞蛾（大卫）"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]},{""sortnum"":""2"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""立刻离开"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""0"",""dowlist4"":[]}]}]}"
4,旁白,hide,,,,“记者？！”,,,,,源类型=type:txt_pb; 层级=3
5,旁白,hide,,,,你发觉自己的心脏因为这个词的出现停跳了一拍。,,,,,源类型=type:txt_pb; 层级=4
6,旁白,hide,,,,但亚波伦却没有顺理成章地谈及你的过去，他只是轻蔑地瞥了一眼被按在地上的索菲亚，然后把嘴凑到你耳边，用只有你能听见的气息音，慢悠悠吐出一句让你浑身发冷的耳语。,,,,,源类型=type:txt_pb; 层级=5
7,大卫//亚波伦,hide,,,,我对盖亚之心从来没有兴趣。我对纳丁达克那些见不得人的勾当也从来没有兴趣。我想要的——从头到尾——都是这具身体。,,,,,源类型=type:txt_DVABL; 层级=6
8,大卫//亚波伦,hide,,,,它比盖曼的身体更年轻，比那具旧躯体更完整，而且它和我已经足够像了。,,,,,源类型=type:txt_DVABL; 层级=7
9,旁白,hide,,,,他伸手按下一个不知从那里冒出来的开关，这个由他意识构筑的梦境瞬间回应了他的命令，被闲置于房间右侧的几块显示屏瞬间亮了起来。位于顶部的三块分屏上分别投射出了三张熟悉的面孔——是你们。,,,,"bgfade(sntzm_ending3_9,1)",源类型=type:txt_pb; 层级=8
10,旁白,hide,,,,只见你们大头照的左上角赫然写着实验体101，实验体102，实验体103的编号，而档案右下角盖着的鲜红印章，正是纳丁达克公司的标志。,,,,,源类型=type:txt_pb; 层级=9
11,旁白,hide,,,,"——实验体101号档案—— 
姓名：亚当·格莱特 年龄：32岁 血型：A型 
职业：记者（前《河谷郡纪事报》社会新闻部） 
脑波适配率：84.7% 
适配对象：盖曼·阿门努斯",,,,,源类型=type:txt_pb; 层级=10
12,旁白,hide,,,,"——实验体102号档案—— 
姓名：克拉克·海尔特 年龄：27岁 血型：O型 
职业：记者（前《河谷郡纪事报》摄影记者） 
脑波适配率：83.2% 
适配对象：盖曼·阿门努斯",,,,,源类型=type:txt_pb; 层级=11
13,旁白,hide,,,,"——实验体103号档案—— 
姓名：大卫·梅森 年龄：35岁 血型：B型 
职业：记者（前《河谷郡纪事报》调查记者） 
脑波适配率：92.1% 
适配对象：盖曼·阿门努斯",,,,,源类型=type:txt_pb; 层级=12
14,旁白,hide,,,,你的目光在“职业”那一栏停住了。记者。不是FBI探员，不是联邦特工——记者。那行字印得端正而清晰，没有任何模糊或涂改的痕迹，仿佛从一开始就是如此书写的。,,,,,源类型=type:txt_pb; 层级=13
15,旁白,hide,,,,但亚波伦的本意显然并不在于此，不在于上面的文字，而是......数字。,,,,,源类型=type:txt_pb; 层级=14
16,大卫//亚波伦,hide,,,,看到档案上的数字了吗，亚当？,,,,,源类型=type:txt_DVABL; 层级=15
17,大卫//亚波伦,hide,,,,那个数字不是用来‘适配’盖亚之心的，而是用来适配我和盖曼的。,,,,,源类型=type:txt_DVABL; 层级=16
18,旁白,hide,,,,他的笑意更明显地漫上来了，仿佛在向你炫耀自己取得的傲人成果。,,,,,源类型=type:txt_pb; 层级=17
19,大卫//亚波伦,hide,,,,你那和我有着92%脑波适配度的朋友，就是我离开这片梦境、进入现实的唯一容器。,,,,,源类型=type:txt_DVABL; 层级=18
20,旁白,hide,,,,,,,,,源类型=type:exeBC; 层级=19
21,旁白,hide,,,,他往前迈了半步，枪口从后脑松弛地转移到了你的后背。,,,,,源类型=type:txt_pb; 层级=20
22,大卫//亚波伦,hide,,,,是你亲手补全了我和大卫之间那最后8%的差距。不靠手术，也不靠什么花里胡哨的科技设备，是仇恨。,,,,"bgfade(sntzm_ending3_21,1)",源类型=type:txt_DVABL; 层级=21
23,大卫//亚波伦,hide,,,,他恨你，正如我憎恨制造了我又将我囚禁的纳丁达克那样——而现在，他恨得刚刚好。,,,,,源类型=type:txt_DVABL; 层级=22
24,旁白,hide,,,,直到此刻，你才终于理解他在肉体消散前那句“没让我失望”到底是什么意思——,,,,,源类型=type:txt_pb; 层级=23
25,旁白,hide,,,,是你亲手将克拉克送进足以致命的电流里，亲手把亚波伦推向了大卫意识最憎恶你的缺口，亲手帮他撕开了那层本就摇摇欲坠的理智防线，给这位蛰伏许久的恶魔打开了通往现实的大门。,,,,,源类型=type:txt_pb; 层级=24
26,旁白,hide,,,,那些他不惜大费周折，免费赠予你们的真相，其实都是用来勾引你们上钩的饵——从记录着大卫与阿兰过往纠葛的磁带、你姐姐的记者证件，到关于造梦设备与纳丁达克的真相。,,,,,源类型=type:txt_pb; 层级=25
27,旁白,hide,,,,当这些线索一次又一次恰巧出现在你们营救克拉克的必经之路上，一次又一次引诱你们暂缓同伴的安危前去探索和调查之时，考验便早已开始。而刚才在电椅上所做的最终抉择，不过是这场人性大考的一次延伸。,,,,,源类型=type:txt_pb; 层级=26
