ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
60,旁白,,,,,“哒哒哒——”,,leberch-suspense2,,unlockmusic(Music9),
61,克拉克,,,,,？！,,,,,
62,大卫,,,,,？！,,,,,
63,你,,,,,？！,,,,,
2,旁白,hide,,,,三束手电同时照向声音的来源，一只瘦小的人影一闪而过，如鬼魅般消失在了幽暗的走廊尽头。,,,false,"bgfade(sntzm_main3_1,1)",源类型=type:txt_pb; 层级=0
3,旁白,hide,,,,是幸存者？还是比那更糟的东西......,,,,,源类型=type:txt_pb; 层级=1
4,旁白,hide,Clark_default,,David_default,容不得你们进行过多的思考，克拉克一马当先，转眼间便已融入走廊的阴影。大卫的反应则稍慢半拍，他的配枪此刻还生硬地插在腰间的皮套里。,,,,"bgfade(sntzm_main3_6,1)&charfadein(L,1)&charmove(L,0,-100,1)&charfadeout(L,1)&charfadein(R,1)&unlockscene(main3_6)","源类型=type:txt_pb; 层级=2; wherelist={""wheretype"":""1"",""wheredatas"":[{""sortnum"":""1"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""找飞蛾"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]}]}"
5,旁白,hide,,,David_default,你现在打算？,,,,,源类型=type:txt_pb; 层级=3
6,旁白,hide,,,David_default,,,,,choice(追上克拉克|jump(7))&choice(与大卫同行|jump(33)),源类型=type:selectBC; 层级=4
7,旁白,hide,,,,追上克拉克,,,,,源类型=type:txt_pb; 层级=5; 选项/备注=避免后方同伴遇险; tag=克拉克线
8,旁白,hide,,,,你没有丝毫犹豫，健步如飞地跟上克拉克前进的步伐，手电的光束如刺出的利刃般不断穿梭，让那瘦小的身影在黑暗中被照地若隐若现。,,,,"bgfade(sntzm_main3_8,1)",源类型=type:txt_pb; 层级=6
9,旁白,hide,,,,你能清晰地听到自己的心跳声，与那“哒哒哒”的不明声响交织在一起，莫名地让人心慌。,,,,,源类型=type:txt_pb; 层级=7
10,旁白,hide,,,,但手中冰冷的枪械却时刻提醒着你身为一名探员的职责和力量，你不会成为任人玩弄的待宰羔羊，亦不愿放过黑暗中任何潜藏的真相。,,,,,源类型=type:txt_pb; 层级=8
11,旁白,hide,,,,然而，当“真相”二字浮现在你愈发坚定的意识中时，一股熟悉的钝痛感骤然来袭，像是大脑中的某个开关被人错误地触发，引起一系列雪崩般的生理反应——,,,,,源类型=type:txt_pb; 层级=9
12,旁白,hide,,,,你的头疼得像要炸开，眼前的景象也随之扭曲变形，克拉克奔跑的背影在月光下飘忽不定，当他踩过地上的一滩深色液体时，你仿佛看到了姐姐坠落时在水泥地上蔓延的血泊。,,,,,源类型=type:txt_pb; 层级=10
13,旁白,hide,,,,那“哒哒哒”的声响也变了调，不再是脚步声，反倒像是无数根电极在你耳膜上敲击，每一次震动都伴随着神经末梢的剧痛。,,,,,源类型=type:txt_pb; 层级=11
14,旁白,hide,,,,你踉跄几步，手电光束在地面疯狂扫动，试图抓住任何能锚定现实的参照物。最终，光束停在了一双黑色战术靴光滑的鞋面上。,,,,"shake(screen,0.5,30,y)&bgfade(sntzm_main3_41,1)",源类型=type:txt_pb; 层级=12
