ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,,,,false,,源类型=type:exeBC; 层级=0
2,索菲亚,hide,Sophia_default,,,我们得走了......,,,,"charfadein(L,1)",源类型=type:txt_Sophia; 层级=1
4,旁白,hide,Sophia_default,,,轻柔的女声再次从门边响起，空灵的悲切中带着一份从未示人的坚强。同样失去重要之人的她当然能理解你们对同伴的珍视和不舍，但只有带着他们留下的火种继续向前，才能对得起所有为真相赴死的亡灵。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=2
5,旁白,hide,,,,沉重的呼吸声在逼仄的研究室里散开，你最后看了一眼那具静静安睡的躯壳，伸手抚上造梦舱冰凉的玻璃，指尖抵着玻璃留下一道浅浅的雾痕。,,,,,源类型=type:txt_pb; 层级=3
6,旁白,hide,,,,所有未曾说出口的感谢、所有并肩时的欢笑与争吵。都化作这最后的告别，连同所有未尽的言语一同在这方冰冷的舱体里永远凝固。,,,,,源类型=type:txt_pb; 层级=4
7,你,hide,,,,晚安，大卫。,,,,,源类型=type:txt_You; 层级=5
8,旁白,hide,,,,你缓缓收回手，转身走向那扇通往未知和明天的大门。克拉克比你沉默了更久，但最终也百般不舍地挪动起脚步。,,,,,源类型=type:txt_pb; 层级=6
13,旁白,hide,,,,你们并肩来到了那扇标有B0—01的金属门前，这里曾是你在那场噩梦中幻觉的起点，如今也将成为一切噩梦的终点。,,,,"bgfade(sntzm_ending5(2)_37,1)",源类型=type:txt_pb; 层级=8
14,旁白,hide,,,,你深吸一口气，然后毅然转动了门上的握把。,,,,,源类型=type:txt_pb; 层级=9
15,旁白,hide,,,,——,,,,,源类型=type:txt_pb; 层级=10
37,旁白,hide,,,,,,,,,源类型=type:exeBC; 层级=11
16,旁白,hide,,,,自那之后的事，多年后回想起来已经有些模糊不清了。记忆里只剩下走廊尽头翻滚的黑烟、索菲亚跑过身边时扬起的发梢，还有那些因断电而从束缚或催眠中挣脱的病人。,,,,"bgfade(sntzm_truth(3)_16,1)",源类型=type:txt_pb; 层级=12
18,旁白,hide,,,,他们曾经是手术台和造梦机器上饱受折磨的羔羊，此刻却成为了重获自由的困兽，红着眼睛打翻了沿途所有拦着他们的东西。,,,,,源类型=type:txt_pb; 层级=14
19,旁白,hide,,,,金属支架砸在地上、刺激性的药剂被打翻后顺着墙面垂直淌下，犹如地狱的恶鬼在人间留下的涂鸦。,,,,,源类型=type:txt_pb; 层级=15
20,旁白,hide,,,,猎人与猎物的身份在极致的混乱中迎来的戏剧性的反转，那些穿着白大褂的研究者如四散的蚁群般狼狈溃逃，他们甚至来不及带走任何珍贵的设备或资料便被身后紧追不舍的病患掀翻在地，成为他们愤怒与疯狂的宣泄口。,,,,,源类型=type:txt_pb; 层级=16
21,旁白,hide,,,,血液与零件在狭小的走廊内齐射飙飞，蔓延的火势顺着墙壁犹如藤蔓般顺着墙面一路攀缘，给整栋建筑都染了一层灼热的焦黑。,,,,"bgfade(sntzm_truth(3)_21,1)",源类型=type:txt_pb; 层级=17
22,旁白,hide,,,,你们扶着墙挤过慌乱奔逃的人群，无数张脸、无数的绝望在你眼前飞速闪过，他们中有的人眼神空洞麻木，有的人疯笑着嘶吼，有的则和你们一样刚从漫长的噩梦中醒来，眼睛中还闪烁着几丝尚未分清虚实的困惑和麻木。,,,,,源类型=type:txt_pb; 层级=18
23,旁白,hide,,,,穿过最后一段楼梯，你们终于摸到了医院的出口，冰凉的夜风顺着敞开的铁门扑面而来，带着雨后泥土的腥气灌满了你的胸腔。,,,,"bgfade(sntzm_truth(3)_23,1)",源类型=type:txt_pb; 层级=19
24,旁白,hide,,,,人群互相推挤着从栅栏门的缺口处鱼贯而出，数量多到连公司聘请的安保都完全无法应付，他们高举着手中的电棍和配枪，脸上的神色却和你们在梦中初次面对医院病患时的惊恐如出一辙。,,,,"bgfade(sntzm_truth(3)_24,1)",源类型=type:txt_pb; 层级=20
25,旁白,hide,,,,对于那些在梦境中无数次遭受枪击、电击、爆炸以及现实中手术摧残的人们而言，此刻没有任何东西能再把他们困回那座名为“治疗”的囚笼。,,,,,源类型=type:txt_pb; 层级=21
26,旁白,hide,,,,枪声断断续续地响了几下，很快便被汹涌的人潮所吞没。豆大的血珠顺着攥紧的指缝滴落在发烫的水泥地上，昭示着这场始于残暴的欢愉，终将以更多的暴力落下帷幕。,,,,,源类型=type:txt_pb; 层级=22
27,旁白,hide,,,,你们不知像这样跑了多久，身后追逐的人声和枪声早被沉沉的夜色甩远，只剩下风声，脚步声，和远处隐约传来的、属于自由之人的呼喊。,,,,"bgfade(sntzm_truth(3)_27,1)",源类型=type:txt_pb; 层级=23
28,旁白,hide,,,,当你回过头时，圣诺汀医院仍在燃烧。,,,,,源类型=type:txt_pb; 层级=24
29,旁白,hide,,,,火光从每一扇窗户里翻涌出来，照亮了半边天际。这座将无数无辜者囚禁十余年的牢笼，在冲天的火光里逐渐塌陷碎裂，火焰的噼啪声和建筑的崩塌声交织在一起，成为这片夜空里唯一的旋律。,,,,"bgfade(sntzm_truth(3)_29,1)",源类型=type:txt_pb; 层级=25
30,旁白,hide,,,,梦境中的那场大火还是发生了，如同某种命中注定的轮回，在纳丁达克自以为固若金汤的堡垒里烧得格外旺盛。,,,,,源类型=type:txt_pb; 层级=26
31,旁白,hide,,,,潺潺的水流声顺着河岸漫了上来，把焚烧建筑带来的热浪冲散了大半。死里逃生的病人们三三两两瘫坐在湿润的河滩上，有人埋着头失声痛哭，望着燃烧的医院方向长久地沉默。,,,,"bgfade(sntzm_truth(3)_31,1)",源类型=type:txt_pb; 层级=27
32,旁白,hide,,,,克拉克也来到河边，捧起一掌清泉浇在自己滚烫的脸颊上，像是要洗去皮肤上挥之不去的消毒水和麻药的味道，又似在用河水掩盖眼眶里打转的热泪。,,,,,源类型=type:txt_pb; 层级=28
33,旁白,hide,,,,医院燃烧的火光映在荡漾的河面上，像大卫生前总爱叼在嘴角的那半根燃烧的卷烟，明明灭灭，随波浮沉。,,,,"bgfade(sntzm_truth(3)_33,1)",源类型=type:txt_pb; 层级=29
34,旁白,hide,,,,你走到他身边，想要俯下身接一把凉水平复翻涌的情绪，可就在手指与水面相触的刹那......似是有什么东西顺着水流蹭过了你的指尖。,,,,,源类型=type:txt_pb; 层级=30
35,旁白,hide,,,,那触感温热又柔软，既似大卫拍在你肩上的掌心，亦如姐姐递出糖果的手腕。,,,,,源类型=type:txt_pb; 层级=31
36,旁白,hide,,,,你愣了一下，下意识把手探进去，捏住那东西的边缘，把它轻轻提起来——,,,,,源类型=type:txt_pb; 层级=32
39,旁白,hide,,,,那一只装着胶卷的防水袋。,,,,"bgfade(sntzm_truth(3)_39,1)",源类型=type:txt_pb; 层级=33
40,旁白,hide,,,,达成结局——【罪之焰】,,,,"shake(screen,1,10,x)&bgfade(sntzm_truth(2)_82,0.8)&bgfade(sntzm_truth(3)_39,1)",源类型=type:txt_pb; 层级=34
38,旁白,hide,,,,自那之后的事，多年后回想起来已经有些模糊不清了。记忆里只剩下走廊尽头翻滚的黑烟、克拉克跑过身边时粗重喘息，还有那些因断电而从束缚或催眠中挣脱的病人。,,,,jump(17),"源类型=type:txt_pb; 层级=12; wherelist={""wheretype"":""1"",""wheredatas"":[{""sortnum"":""1"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""无视飞蛾（克拉克）"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]},{""sortnum"":""2"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""无视飞蛾（大卫）"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]},{""sortnum"":""3"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""立刻离开"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]}]}; gotomainline=17"
3,你,hide,,,,我们得走了......,,,,,"源类型=type:txt_You; 层级=1; wherelist={""wheretype"":""1"",""wheredatas"":[{""sortnum"":""1"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""无视飞蛾（克拉克）"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]},{""sortnum"":""2"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""无视飞蛾（大卫）"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]},{""sortnum"":""3"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""立刻离开"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]}]}"
10,旁白,hide,,,,你轻拍克拉克僵硬的肩膀，每一个字都带着前所未有的沉重。但你知道自己在做什么，也知道大卫想要看到你们做什么。,,,,,源类型=type:txt_pb; 层级=2
11,旁白,hide,,,,若他的灵魂仍停留在这世上，或许这时候会像他生前习惯的那样抱着胳膊，用最脏的词骂你们像妇人一样婆婆妈妈，让他化成灰都死不安稳。,,,,,源类型=type:txt_pb; 层级=3
12,旁白,hide,,,,克拉克垂在身侧的拳头缓缓握紧，他没有立刻表态，但眼睛里翻涌的情绪已经渐渐沉淀下来，化作带着他用生命守护的真相继续向前的，无可动摇的决心。,,,,jump(5),源类型=type:txt_pb; 层级=4; gotomainline=5
