ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,走廊里内焦臭味依旧，它们就像器官里的癌细胞，无声地吞噬着残存的氧气。,,horror-free,false,"bgfade(sntzm_david2_1,1)&unlockmusic(Music11)",源类型=type:txt_pb; 层级=0
2,旁白,hide,,,,你们的影子在光线中拉得很长，在布满裂痕的墙壁上扭曲、变形，仿佛随时会挣脱束缚，变成新的怪物。,,,,,源类型=type:txt_pb; 层级=1
3,旁白,hide,,,,你们小心翼翼地检查着每一个房间，门大多虚掩着，轻轻一推便会发出“吱呀”的声响。房间内部的景象大同小异：散落的医疗器械、布满污渍的病床、破碎的窗户，以及无处不在的灰尘和蛛网。,,,,,源类型=type:txt_pb; 层级=2
4,旁白,hide,,,,大卫的脚步停在一间标着“B2—10”的房间门前，与其他房间不同，这扇门是从内部反锁的。他用手电光仔细照了照门锁，金属插销上隐约有新鲜的划痕，像是不久前被强行撬动过。,,,,"bgfade(sntzm_david2_4,1)",源类型=type:txt_pb; 层级=3
5,大卫,hide,David_default,,,不太对劲。,,,,"charfadein(L,1)",源类型=type:txt_David; 层级=4
6,旁白,hide,,,,他压低声音，从腰间拔出警棍，随时准备朝某个装神弄鬼的家伙脸上来一记狠的。,,,,,源类型=type:txt_pb; 层级=5
7,旁白,hide,,,,你握紧了腰间的配枪，心跳声在寂静的走廊里格外清晰，每一次搏动都在撞击着耳膜。,,,,,源类型=type:txt_pb; 层级=6
8,旁白,hide,,,,只见他深吸一口气，随即猛地用警棍顶住门锁下方的缝隙，手臂肌肉绷紧，随着一声沉闷的“咔嚓”声，插销应声弹开。,,,,,源类型=type:txt_pb; 层级=7
9,旁白,hide,,,,屋内的气味混杂着泥土的潮湿和某种药水的香甜，这股味道和你在幻觉中闻到的香甜气息几乎如出一辙。,,,,"bgfade(sntzm_david2_9,1)&unlockscene(david2_9)",源类型=type:txt_pb; 层级=8
10,旁白,hide,,,,只见大卫率先侧身闯入，手电光束在房间内勾勒出一台台落满灰尘的器械的轮廓。不同于之前的病房，这里看上去更像是一个用于存放废旧物品的储藏间。,,,,,源类型=type:txt_pb; 层级=9
11,旁白,hide,,,,房间的两侧各摆着一排架子，标有生物垃圾标识的塑料箱陈列其间，破碎的玻璃器皿与金属手术工具，在箱子半透明材质下隐约可见。几台报废的设备肆意弯折着，像被切断的肢体凌乱地堆积在墙角。,,,,,源类型=type:txt_pb; 层级=10
12,旁白,hide,,,,突然，大卫的动作猛地僵住了——只见房屋的深处坐着一个消瘦的人影，他身着一件相见的病号服，背对着门口，头深深埋在膝盖里，肩膀微微颤抖，似乎在忍受某种极大的痛苦，亦或......狂喜。,,,,"bgfade(sntzm_david2_12,1)",源类型=type:txt_pb; 层级=11
13,旁白,hide,,,,他的面前躺着一块老式屏幕，漆黑的线缆从背后的阴影中蜿蜒着爬上他脊椎，如同带刺的藤蔓，深深扎进他带血的耳廓。,,,,,源类型=type:txt_pb; 层级=12
14,旁白,hide,,,,屏幕上硝烟弥漫，空气总跳动着杂乱无章的雪花点，仔细看会发现是一排排密集的导弹雨，就像开启最高难度的第一人称射击游戏。,,,,,源类型=type:txt_pb; 层级=13
15,旁白,hide,,,,那些导弹并非随机瞄准，而是明确地以屏幕镜头为目标，如无尽的浪潮般不断席卷——每当一枚尖啸的弹头在屏幕中央炸开，那病人的肩膀便会剧烈抽搐，仿佛两者之间存在着某种病态的共鸣。,,,,,源类型=type:txt_pb; 层级=14
16,旁白,hide,,,,大卫缓缓抬起手电，光束颤抖着打在那人的后脑勺上。他如同遭到电击似得，身体猛地一抽，整个人便如提线木偶般，“嘎达”一声站了起来。,,,,,源类型=type:txt_pb; 层级=15
17,大卫,hide,David_withgun,,,转过身来，慢慢地。让我看见你的手！,,,,"charfadein(L,0.5)",源类型=type:txt_David; 层级=16
18,旁白,hide,David_withgun,,,他扣动了一下配枪的击锤，往枪膛内推入了一发新的子弹。这种警示足以令大多数凡人两腿发软，但对方的反应却慢得几乎能用呆钝来形容。,,,,,源类型=type:txt_pb; 层级=17
19,旁白,hide,David_withgun,,,只见他缓缓转过半边身子，像一具被盗墓贼从坟里挖出的，残破的尸体。惨白的脸在手电光的照射下看不到一丝血色，只有涣散的瞳孔正对着门口，直勾勾地盯着大卫那张刀削般的俊脸。,,,,,源类型=type:txt_pb; 层级=18
20,仓库管理,hide,David_withgun,,,咿啊啊啊啊.......！,,,,"shake(screen,0.5,5)",源类型=type:txt_Ckgl; 层级=19
21,旁白,hide,David_withgun,,,只听一声尖锐的嘶吼划破夜空，就连大地都仿佛为之颤抖。先前脑海中早已浮现过的各种恐怖画面，如今终于伴随着一道刺耳的尖鸣，在现实中砸开了你紧绷的神经。,,,,,源类型=type:txt_pb; 层级=20
22,大卫,hide,David_withgun,,,妈的......,,,,,源类型=type:txt_David; 层级=21
23,旁白,hide,David_withgun,,,随着一句粗俗的叫骂声破口而出，大卫扣在扳机上的手指终于不再彷徨。明亮的火舌自枪口中接连喷射，落点直指那人脚边的地板。,,,,"charfadeout(L,1)&shake(screen,0.5,10)&bgfade(sntzm_david2_23,1)",源类型=type:txt_pb; 层级=22
24,旁白,hide,,,,但对方直接无视了他最高级别的警告，他四肢着地，双目流血，耳边的线缆轰然断裂，如同一头被激怒的野兽般顺着墙壁高速接近。尖锐的指甲轻易撕开了塑料箱的外缘，令原本安稳躺在架子上的金属器具散落一地。,,,,,源类型=type:txt_pb; 层级=23
25,旁白,hide,,,,你的枪口迅速校正方向，这次不再是警告射击。,,,,,源类型=type:txt_pb; 层级=24
26,旁白,hide,,,,子弹拖着长长的尾焰直逼怪物垂弱的血肉，在学院前十的射击成绩让你有足够的把握一击制敌。,,,,"bgfade(sntzm_david2_26,1)",源类型=type:txt_pb; 层级=25
27,旁白,hide,,,,然而，预期中的倒地哀嚎并没有出现，你的数发连射在它违背人体构造的移动轨迹面前几乎颗粒无收。就连瞄准头部的子弹也只能堪堪擦过对方的肩胛骨，带起一串飞溅的血花。,,,,,源类型=type:txt_pb; 层级=26
28,旁白,hide,,,,不同于电影里上窜下跳的生化怪物，它的闪避幅度很小，就像受过某种特殊训练的士兵，每一次扭转身体，都能刚好避开那致命的弹道。,,,,,源类型=type:txt_pb; 层级=27
29,旁白,hide,,,,当它腥臭的呼吸几乎飘至近前，大卫猛地侧身撞开了对方扑来的身体，警棍带着风声狠狠砸在它剧烈起伏的颈椎上。,,,,,源类型=type:txt_pb; 层级=28
30,旁白,hide,,,,可沉闷的骨裂声转眼间便被更加恐怖的尖啸所取代，还未等大卫收回甩出的手臂，怪物的巨掌便迎面袭来，抓起他的头颅便狠狠砸在地上。,,,,"bgfade(sntzm_david2_30,1)",源类型=type:txt_pb; 层级=29
31,旁白,hide,,,,这一砸属实给大卫伤得不轻，本就较轻的身体加上毫无防备的后脑勺，显著地强化了这一摔的威力。若不是肾上腺素在体内苦苦支撑，他恐怕已经当场昏厥了过去。,,,,,源类型=type:txt_pb; 层级=30
32,旁白,hide,,,,靠着回光返照的余力，大卫死死缠住它病瘦的躯体，本应是一边倒的体格差距，却在那不讲道理的怪力影响下，令他们势均力敌地扭打在一起。,,,,,源类型=type:txt_pb; 层级=31
33,旁白,hide,,,,此时，你打算如何帮助大卫？,,,,,源类型=type:txt_pb; 层级=32
34,旁白,hide,,,,,,,,choice(开枪射击|jump(35))&choice(用刀背刺|jump(36)),源类型=type:selectBC; 层级=33
35,旁白,hide,,,,开枪射击,,stop,,,源类型=type:txt_pb; 层级=34; 选项/备注=你需要谨慎地瞄准，以免击中大卫
37,旁白,hide,,,,你选择相信自己的枪法，保持一段距离，避开大卫纠缠的肢体，将准星稳稳锁在怪物暴露的头颅，随即果断扣动了扳机。,,,,"bgfade(sntzm_david2_37,1)",源类型=type:txt_pb; 层级=35
38,旁白,hide,,,,枪声在狭小的房间里震得你耳膜发疼，滚烫的弹丸呼啸而过，贯穿皮肉，带起一片浑浊的血花。,,,,,源类型=type:txt_pb; 层级=36
39,旁白,hide,,,,时间仿佛在此刻按下了暂停键，原本互相缠绕的两幅身体同时停下了动作，徒留枪口的黑烟在空气中如乌鸦般盘旋。,,,,,源类型=type:txt_pb; 层级=37
40,旁白,hide,,,,你看到大卫缓缓从地上爬起，整张脸都被阴影笼罩，像一块烧焦了的硬盘，读不出任何表情。,,,,"bgfade(sntzm_david2_40,1)",源类型=type:txt_pb; 层级=38
41,你,hide,,,,结束了，大卫，它已经......,,,,,源类型=type:txt_You; 层级=39
42,旁白,hide,,,,你刚想上前安慰，迈出一半的步子却在光与影的交界处戛然而止。不仅仅是因为大卫额头上血淋淋的弹孔，还有你肚子上，新开的洞口。,,,,,源类型=type:txt_pb; 层级=40
43,你,hide,,,,怎.....怎么会。,,,,"bgfade(sntzm_david2_42,1)",源类型=type:txt_You; 层级=41
44,旁白,hide,,,,你难以置信地盯着那只由你亲自开出的弹孔，眼神中满是绝望与错愕。随着身后的支撑由实转虚，大卫的尸体顿时犹如断线木偶般瘫倒在地，露出身后那张灰白的，诡异的人脸。,,leberch-spooky-piano,,unlockmusic(Music12),源类型=type:txt_pb; 层级=42
45,旁白,hide,,,,它的脖子以一种惊悚的幅度扭曲着，喉咙里发出“嗬嗬”的怪响，像是在嘲笑你的冲动和无能。,,,,"bgfade(sntzm_david2_45,1)",源类型=type:txt_pb; 层级=43
46,旁白,hide,,,,正如之前躲避你射出的子弹那般，即便是在最为激烈的缠斗中，它那千锤百炼的神经反射依旧敏锐，不仅成功避开了来袭的威胁，还借你之手铲除了另一个心腹大患。,,,,,源类型=type:txt_pb; 层级=44
47,旁白,hide,,,,剧烈的精神冲击，顷刻间便驱散了肾上腺素带来的兴奋感，钻心的疼痛顺着神经迅速爬满全身，每一毫秒都仿佛有无数跟钢针在你的五脏六腑间炸开。,,,,,源类型=type:txt_pb; 层级=45
48,旁白,hide,,,,你攥着枪柄的手指逐渐脱力，双腿也再也支撑不住身体的重量，重重跪倒在冰冷的水泥地上。温热的血液顺着衣角不断洇开，在积灰的地面晕开大片暗沉的血迹。,,,,"shake(screen,0.5,5,10,y)&bgfade(sntzm_david2_48,1)",源类型=type:txt_pb; 层级=46
49,旁白,hide,,,,透过这片血迹，你从中仿佛看到了一个陌生的自己，他身披一件米色风衣，手持银色翻盖相机，身边押送着他的白色人影隐约可见，唯有脸上的绝望和恐惧与你如出一辙。,,,,,源类型=type:txt_pb; 层级=47
50,旁白,hide,,,,不知为何，你感觉那就是你，或者说......那才是你。,,,,,源类型=type:txt_pb; 层级=48
