ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,,,,false,,源类型=type:exeBC; 层级=0
2,旁白,hide,,,,他刚退回隔间，门框便在头顶折断。退路没有回来，裂缝反而追上了你们的脚跟。你猛地收脚，半块地板坠了下去，迟迟没有传回落地的声音。,,,,"bgfade(sntzm_gy(1)_2,1)&parallel(playsfx(RubbleCrash);shake(screen,0.5,10))",源类型=type:txt_pb; 层级=1
5,索菲亚,hide,Sophia_default,,,别退了！跑！,,,,"charfadein(L,1)",源类型=type:txt_Sophia; 层级=2
6,克拉克,hide,Sophia_default,,Clark_default,哪边？,,,,"charfadein(R,1)",源类型=type:txt_Clark; 层级=3
7,索菲亚,hide,Sophia_default,,,跟着灯走，快！,,,,"charfadeout(R,1)",源类型=type:txt_Sophia; 层级=4
8,旁白,hide,Sophia_default,,,索菲亚先冲出门。应急灯一盏接一盏亮向走廊深处，她的白大褂在红光里闪了一下，随即没入灰尘。,,,,"charfadeout(L,1)&bgfade(sntzm_gy(1)_8,1)",源类型=type:txt_pb; 层级=5
9,旁白,hide,,,,你扶住大卫，克拉克挡在他另一侧。三个人挤过门口时，一块墙砖擦着克拉克的肩膀砸下。他没有回头，只把你们往前推。身后的走廊正在一截截消失。,,,,,源类型=type:txt_pb; 层级=6
10,旁白,hide,,,,一只飞蛾从黑暗里跌撞着飞出，掠过你的脸，落在大卫肩上。它看起来漆黑，翅缘却沾着灰白的粉。大卫抬了抬手，终究没有把它赶走。,,,,jump(3),源类型=type:txt_pb; 层级=7; gotomainline=3
3,旁白,hide,,,,冲过楼梯拐角，脚下的震动忽然轻了。你刚吸进半口气，上方就传来一声闷响——刚才经过的平台塌了。,,,,"bgfade(sntzm_gy(1)_3,1)",源类型=type:txt_pb; 层级=1
16,旁白,hide,,,,你把那口气咽回去，继续往下跑。大卫的重量越来越多地压在你手臂上，你不敢问他还能撑多久。,,,,,源类型=type:txt_pb; 层级=2
17,旁白,hide,,,,,,,,,源类型=type:exeBC; 层级=3
18,旁白,hide,,,,索菲亚始终跑在前面。白大褂扫过扶手，她在转角处侧身，避开一截翘起的铁皮，连脚步都没乱。,,,,,源类型=type:txt_pb; 层级=4
20,旁白,hide,,,,那一下太熟练了。手电还没照到脚下，她已经踩向下一级台阶。你忽然想知道，她究竟走过这条路多少次。,,,,jump(19),源类型=type:txt_pb; 层级=5; gotomainline=19
