ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,,,,false,,源类型=type:exeBC; 层级=0
3,旁白,hide,,,,你选择相信内心的感觉，没有放任飞蛾再次消失在黑暗中。,,,,,"源类型=type:txt_pb; 层级=1; wherelist={""wheretype"":""1"",""wheredatas"":[{""sortnum"":""1"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""飞蛾线"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]}]}"
4,旁白,hide,,,,你的手电光一路尾随它飞行的轨迹，脚步也跟得很紧，就连身后的两位队友也被你这突如其来的举动吓到。,,,,"bgfade(sntzm_fe_4,1)",源类型=type:txt_pb; 层级=2
5,旁白,hide,,,,克拉克甚至下意识地伸手想拉住你，而大卫则一边叫骂，一边追了上来，还不忘把无线电打开，以免遗漏了什么重要信息。,,,,,源类型=type:txt_pb; 层级=3
6,旁白,hide,,,,飞蛾飞得并不快，仿佛刻意在等你，它的翅膀在光束中划出一道道细碎的光斑，像在编织一条通往未知的光带。,,,,,源类型=type:txt_pb; 层级=4
7,旁白,hide,,,,你穿过布满碎玻璃的走廊，绕过倾倒的金属病床，那飞蛾始终保持着不远不近的距离，最终停在了一面挂满照片的墙壁上。,,,,,源类型=type:txt_pb; 层级=5
8,旁白,hide,,,,那是一群身穿白大褂的医生，看上去和大厅里挂着的照片和介绍没什么不同。,,suspence,,unlockmusic(Music5),源类型=type:txt_pb; 层级=6
9,旁白,hide,,,,其中一个男人在一众同僚之中尤为显眼，不仅是因为他的半身像占了这整照片墙的四分之一，更因那只飞蛾，此刻恰巧停在了他的嘴唇上。,,,,"bgfade(sntzm_fe_9,1)&unlockscene(fe_9)",源类型=type:txt_pb; 层级=7
10,旁白,hide,,,,灰白的鞘翅将他的唇角完全包裹，看上去仿佛被人用线缝了起来。,,,,,源类型=type:txt_pb; 层级=8
11,旁白,hide,,,,你仔细端详起这张陌生的面孔，发现他的半张脸已被烧至完全剥落，变色的油漆凝自眼窝一路淌至衣角，像极了人在极度痛苦时流下的血泪。,,,,,源类型=type:txt_pb; 层级=9
12,旁白,hide,,,,幸运的是，这张照片下小写的英文名并没有沦为他半边脸颊的陪葬品，尽管在长期的废置下落满了灰尘，但其复杂的金属工艺足以令它在大火的炙烤中保存下来。,,,,,源类型=type:txt_pb; 层级=10
13,大卫,hide,David_angry,,,搞什么鬼？一只破蛾子值得你追这么远？,,,,"charfadein(L,1)",源类型=type:txt_David; 层级=11
14,旁白,hide,David_angry,,,大卫和克拉克姗姗来迟，看到你对着张照片发呆，大卫忍不住白了你一眼。可当他看清楚照片下由金属雕刻的名字时，脸上的表情罕见地严肃起来,,,,,源类型=type:txt_pb; 层级=12
15,大卫,hide,David_default,,,盖曼.阿门努斯？,,,,,源类型=type:txt_David; 层级=13
16,你,hide,David_default,,,怎么，你认得这个人？,,,,"charfadeout(L,1)",源类型=type:txt_You; 层级=14
17,旁白,hide,,,,见你把头都凑了过来，大卫轻笑一声，开始卖弄起他那点可怜的情报储备。,,,,,源类型=type:txt_pb; 层级=15
18,大卫,hide,David_analyze,,,这家伙在医学界可是个大名人，听说他研发了一种可以操控梦境的设备。比小说游戏里的“超梦”还要真实。,,,,"charfadein(L,1)",源类型=type:txt_David; 层级=16
19,旁白,hide,David_analyze,,,说完，他的目光落回到了那张半毁的照片上，似乎正把脑中的大发明家与眼前的残破人影进行着艰难的重叠。,,,,,源类型=type:txt_pb; 层级=17
20,大卫,hide,David_default,,,本来以为是个天才，没想到竟在这种鬼地方高就。,,,,,源类型=type:txt_David; 层级=18
21,旁白,hide,David_default,,,在他吐槽的空当，克拉克也掏出手机，从网络上调出了关于盖曼·阿门努斯的资料。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=19
22,克拉克,hide,Clark_default,,,资料显示，他是神经科学与心理学领域的权威专家，大约三年前便从公众视野中消失。,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=20
23,克拉克,hide,Clark_default,,,有人说他加入了秘密研究项目，也有人称他因实验事故身亡……而他失踪前的最后一份工作，正是在这家圣诺汀精神病研究院从事精神恢复治疗。,,,,,源类型=type:txt_Clark; 层级=21
24,你,hide,Clark_default,,,那内部资料呢？,,,,"charfadeout(L,1)",源类型=type:txt_You; 层级=22
25,旁白,hide,,,,你提出了一个敏感的问题，这涉及FBI内部最机密的档案。既然知道这里藏着“盖亚之心”，你断定调查局一定已经通过某种渠道知晓了这里曾发生过的事情，乃至图片上这位盖曼医生的下落。,,,,,源类型=type:txt_pb; 层级=23
26,旁白,hide,,,,但这一次，克拉克的答复却出乎你的意料。,,,,,源类型=type:txt_pb; 层级=24
27,克拉克,hide,Clark_confused,,,没有那种东西，亚当。至少这次任务没有......,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=25
28,旁白,hide,Clark_confused,,,他先是停顿了片刻，似乎在回想些什么。但很快便无奈地摇了摇头，略显失望的眼神中投射出的是和你一样的，对真相被刻意掩盖的不满。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=26
29,旁白,hide,,,,或许正如你一开始所预料的那样——你们不是来这里揭开真相的，而是来抹去真相留存在这世间的，最后一抹痕迹的。,,,,,源类型=type:txt_pb; 层级=27
30,大卫,hide,David_default,,,动动你的脑子，如果上面已经知晓了一切，还派我们来做什么？咱们终究只是被雇来办事的，知道太多可没有好处。,,,,"charfadein(L,1)",源类型=type:txt_David; 层级=28
31,旁白,hide,David_default,,,话说到后半句时，大卫的语气仿佛结了层冰，那不是前辈训斥后辈时的语重心长，或是兄弟互损时的嬉皮笑脸。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=29
32,旁白,hide,,,,你还没来得及细想他的言下之意，那只停在照片上的飞蛾突然振翅飞起，这一次，它没有再度遁入黑暗，而是直直地飞入了盖曼照片中那只烧至空洞的眼窝。,,,,"bgfade(sntzm_fe_32,1)",源类型=type:txt_pb; 层级=30
33,大卫,hide,David_default,,,瞧，你心心念念的小飞蛾把你抛下了，这回你总不能学它钻洞吧。,,,,"charfadein(L,1)",源类型=type:txt_David; 层级=31
34,旁白,hide,David_default,,,你下意识地看向照片墙，飞蛾消失的眼窝处似乎有细微的松动。你伸出手，指尖刚触碰到照片边缘，就听到大卫的催促声再度从身后传来,,,,,源类型=type:txt_pb; 层级=32
35,大卫,hide,David_default,,,喂，你不会真的想......,,,,,源类型=type:txt_David; 层级=33
36,旁白,hide,David_default,,,你猛地收回手，转头对上他探究的目光，直觉告诉你这面墙有些古怪，但也找不出什么实际的证据来支持这一点。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=34
37,旁白,hide,,,,只见克拉克挂断手里的无线电，似乎收到了新的指令。他走到你们身边，脸色比方才更加凝重。,,,,,源类型=type:txt_pb; 层级=35
38,克拉克,hide,Clark_default,,,那位自称夜莺的联络员刚发来消息，他们监测到这一区域的能量场出现异常波动，要求我们尽快找到盖亚之心。,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=36
39,旁白,hide,Clark_default,,,他用手电扫了扫照片墙，若有所思地补充道,,,,,源类型=type:txt_pb; 层级=37
40,克拉克,hide,Clark_default,,,它现在在住院大楼5层左右的位置。,,,,"charfadeout(L,1)",源类型=type:txt_Clark; 层级=38
41,旁白,hide,,,,你对“夜莺”这个代号并无印象，听上去像是在你刚才短暂脱队时，在无线电中与两人联络的对象。,,,,,源类型=type:txt_pb; 层级=39
42,旁白,hide,,,,但你没有多问。现在不是纠结代号的时候，住院大楼五层——这个具体的坐标让原本模糊的目标瞬间清晰起来。,,,,,源类型=type:txt_pb; 层级=40
43,旁白,hide,,,,大卫见你似乎仍不死心，干脆直接上前，用力推了推墙上的照片，然而墙壁纹丝不动。,,,,,源类型=type:txt_pb; 层级=41
44,大卫,hide,Clark_default,,,看，别浪费时间了，找‘盖亚之心’要紧。,,,,"charfadein(L,1)",源类型=type:txt_David; 层级=42
