ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,,,,false,,源类型=type:txt_pb; 层级=0
2,旁白,hide,,,,子弹擦着杰森的肩膀飞了出去，钉在了他身后潮湿发霉的墙面上，溅起一片带着腥气的墙灰。一声惊叫冲出了他的喉咙，伴随着肌肉的痉挛，形成一种诡异的合奏。,,suspense-tension-background-music,,"bgfade(sntzm_fourBranch2_2,1)",源类型=type:txt_pb; 层级=1
3,旁白,hide,,,,拜那些往他脑子里动刀的医生所赐，子弹的轨迹，他早已能够看透。但被隐藏在层层面具下的人心，却始终如徘徊于阴影中的幽灵，难以琢磨。,,,,,源类型=type:txt_pb; 层级=2
4,旁白,hide,,,,他不知道对方何时会开枪，更不知道这个叫做亚当的男人会不会在最后一刻突然改变主意，将枪口对准自己已经千疮百孔的身体。但一切就这么发生了，没有预警、没有提示，只有他自己惊恐的尖叫声回荡在周围的黑暗里。,,,,,源类型=type:txt_pb; 层级=3
5,旁白,hide,,,,空气仿佛被冻住似的，将在场的所有人都囚禁在这片心照不宣的沉默之中。就像制造了一颗争议性进球的运动员，默默等待着“裁判”的最终表决。,,,,,源类型=type:txt_pb; 层级=4
6,旁白,hide,,,,,,,,,源类型=type:exeBC; 层级=5
7,旁白,hide,,,,克拉克瞬间明白了你的意图，他一把夺过你的手枪，厉声斥责你的失职，仿佛那颗子弹真的贯穿了杰森的身体。,,,,,"源类型=type:txt_pb; 层级=6; wherelist={""wheretype"":""1"",""wheredatas"":[{""sortnum"":""1"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""问大卫"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]}]}"
8,克拉克,hide,Clark_default,,,你越职了，亚当。,,,,"bgfade(sntzm_clark5_38,1)&charfadein(L,1)",源类型=type:txt_Clark; 层级=7
9,克拉克,hide,Clark_default,,,根据联邦宪法第18章第242条，“执法人员未经授权，擅自伤害嫌疑人”的行为，将被视作重大违纪。,,,,,源类型=type:txt_Clark; 层级=8
10,旁白,hide,Clark_default,,,他的声音很冷，带着基于他死脑筋性格的一如既往的古板，以及一丝若有若无，对结果的侥幸的期待。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=9
11,旁白,hide,,,,那只音响沉默了很久，久到让你们误以为对方已经挂断了通讯。但它最终还是响了起来，带着魔鬼特有的沙哑笑意，碾压着你们因这份不确定性而变得格外敏感的神经。,,,,,源类型=type:txt_pb; 层级=10
12,？？？,hide,,,,很好，亚当......看来你已经渐渐弄清楚这里的游戏规则了。,,,,,源类型=type:txt_Un; 层级=11
13,旁白,hide,,,,说着，他打了个响指。束缚着大卫的镣铐应声解开。尽管你看不到另一边的画面，但也的确可以听到他重获自由后迅速整理衣服时口中碎碎念的抱怨。,,,,,源类型=type:txt_pb; 层级=12
14,克拉克,hide,Clark_default,,,大卫！你还好吗？告诉我们你现在的位置......我们马上就来找你。,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=13
15,旁白,hide,Clark_default,,,广播那头没有立刻传来回应，只听到一阵杂乱的脚步声和拖动物体的闷响。紧跟着是神秘人戏谑的嗓音。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=14
16,？？？,hide,,,,别急，他很快就会出来了。不过，鉴于你们打坏了我的一只“眼睛”，我想我有必要亲自检查一下杰森的身体，看看你们是否真的遵守了规则。,,,,,源类型=type:txt_Un; 层级=15
17,旁白,hide,,,,这句话让你瞬间回想起克拉克之前用枪打爆监控的画面，原来对方刚才之所以迟疑了那么久，正是摄像头损坏，导致他无法真正看清你到底有没有打伤杰森，只能凭借枪声和事后反应进行粗略的判断。,,,,,源类型=type:txt_pb; 层级=16
18,旁白,hide,,,,尽管克拉克的演技成功骗过了他，但这一切显然还没完。,,,,,源类型=type:txt_pb; 层级=17
19,你,hide,,,,我们有理由遵守这个超出最初约定的规则吗？,,,,,源类型=type:txt_You; 层级=18
20,？？？,hide,,,,理由？亚当，你似乎搞错了什么，我既然能抓住他一次，也就意味着还可能有第二次，第三次。,,,,,源类型=type:txt_Un; 层级=19
21,？？？,hide,,,,而且，比起你们遭遇的这位“坏孩子”，我手头可还有一头“猛兽”没有放出来。,,,,,源类型=type:txt_Un; 层级=20
22,？？？,hide,,,,对了，据说他在被送进这里之前，和你们的朋友有一些私人恩怨。你说，如果我现在解开它身上的链子，它会对大卫做些什么有趣的事情？,,,,,源类型=type:txt_Un; 层级=21
23,旁白,hide,,,,“私人恩怨？”你从未听大卫提起过，到底是确有其事，还是对方在虚张声势？,,,,,源类型=type:txt_pb; 层级=22
24,网瘾学徒,hide,,wy_w,,你听到老师说的了？放了我，否则那家伙就完蛋了......,,,,"charfadein(M,1)",源类型=type:txt_Wyxt; 层级=23
