ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,你知道自己依旧在乎电椅上的同伴，但真相的重量却远胜过站在这里的每一个人的生命——,,,false,,源类型=type:txt_pb; 层级=0
2,旁白,hide,,,,如果不能将纳丁达克所做的一切公之于众，未来还会有更多无辜的人成为他们非人道实验的受害者。在已经死去的，以及未来还可能因此受难的无数生命比起来，没有什么特殊的个体是不能被牺牲的。,,,,,源类型=type:txt_pb; 层级=1
3,旁白,hide,,,,只听咔哒一声轻响从按钮下方传出，像是钥匙打开了锈死的锁孔。,,,,,源类型=type:txt_pb; 层级=2
4,旁白,hide,,,,电流声在半个呼吸的延迟后炸开了。但不是从一侧，是从两侧。 ,,,,"playsfx(ElectricShock)&bgfade(sntzm_ending4(1)_4,1)",源类型=type:txt_pb; 层级=3
5,旁白,hide,,,,你看到大卫的身体猛地向上弹起，金属扣带在他手腕上勒出深色的印痕，他的头向后仰去，喉咙里挤出一声短促的、被电流碾碎的声响。,,,,,源类型=type:txt_pb; 层级=4
6,旁白,hide,,,,与此同时，右侧隔间里的亚波伦也弓起了脊背，那条白大褂在他抽搐的躯体上绷出一道道扭曲的褶皱。他的表情在电光中模糊成一团明暗交错的影子——有痛苦，但更多的是近乎狂喜的解脱。,,,,,源类型=type:txt_pb; 层级=5
7,你,hide,,,,你在做什么？你不能就这样......,,,,,源类型=type:txt_You; 层级=6
8,旁白,hide,,,,你扑到了他的门边，像一头等待着被投喂的野兽，疯狂拍打着那扇将你和真相隔绝开来的铁门。高昂的筹码刚被押在台前，可许诺以真相的荷官却打算借用自己的死亡提前下桌，这是你绝不允许发生的事情。,,,,,源类型=type:txt_pb; 层级=7
9,克拉克,hide,Clark_default,,,大卫！,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=8
10,旁白,hide,Clark_default,,,同样的拍门声自另一侧的隔间响起，紧随而至的是克拉克声嘶力竭的呼喊，金属撞击声混着电流的嗡鸣在空间里刺耳地交织，克拉克每叫出一次大卫的名字，便会在你的良心上剜开一道带血的口子。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=9
11,旁白,hide,,,,你听到自己的呼吸在空荡的隔间里变得越来越重，门锁依旧纹丝不动地卡在金属扣槽里，只有亚波伦抽搐的幅度在一点点变小。电流滋滋的声响还在持续舔舐着两个人的躯体，如同某种永不停息的催命符。,,,,,源类型=type:txt_pb; 层级=10
12,克拉克,hide,Clark_default,,,大卫！撑住！别闭上眼——！,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=11
13,旁白,hide,Clark_default,,,你不敢看他，更不敢看向因为自己的选择而正饱受折磨的大卫，只是把目光紧紧固定在亚波伦逐渐虚弱的脸上，试图从这场注定没有结果的豪赌中最后再挽回些什么，让同伴的牺牲不至于看上去毫无价值。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=12
14,亚波伦,hide,,,,你果然......没让我失望，我本以为......这件事会，更困难一些。,,,,,源类型=type:txt_Abaddon; 层级=13
15,旁白,hide,,,,亚波伦的声音在电流的杂音中断断续续地传出来，清晰、平静，没有回答你的任何提问，像是正在经历某种他早就知晓结局的超凡仪式，却对凡人信徒的寻求的启示置之不理。,,,,,源类型=type:txt_pb; 层级=14
16,旁白,hide,,,,但大卫的声音却截然相反，他的喉咙被痛苦死死攫住，却依旧在血液蒸腾的酷刑中发出烧焦般的痛吟，当那一浪高过一浪的惨叫声顺着电流直刺你的耳膜时，你发现自己再也无法继续站在原地干等了。,,,,,源类型=type:txt_pb; 层级=15
17,旁白,hide,,,,你立刻转身，冲向你和克拉克之间那扇隔间门，肩膀抵住冰冷的金属表面，脚尖死死蹬住地面。,,,,,源类型=type:txt_pb; 层级=16
18,旁白,hide,,,,克拉克看到你的动作，没有犹豫，整个人也靠上了门板——两股力量叠在一起，像两只被困在铁壳里的虫子，徒劳地顶向一扇从外面锁住的棺材盖。,,,,"bgfade(sntzm_ending4(1)_18,1)",源类型=type:txt_pb; 层级=17
19,旁白,hide,,,,你们用尽了全力。门板在你们的顶撞下发出沉闷的震响，反复几次之后，你们已经快要放弃了，可就在你们准备进行下一次冲撞之前，一声轻微到几乎难以察觉的“咔哒”声贴着金属表面传了过来。,,,,,源类型=type:txt_pb; 层级=18
20,旁白,hide,,,,门锁弹开了。,,,,,源类型=type:txt_pb; 层级=19
21,旁白,hide,,,,克拉克的手一把抓住门沿，猛地拉开那扇沉重的铁门，整个人的重心差点被甩进去。他踉跄着扑向大卫的椅子，双手扯开他腕上的金属扣带，颤抖着探向他的颈侧。,,,,"bgfade(sntzm_ending4(1)_21,1)",源类型=type:txt_pb; 层级=20
22,旁白,hide,,,,没有搏动。,,,,,源类型=type:txt_pb; 层级=21
23,旁白,hide,,,,他深吸一口气，手指换了个位置重新按下去。还是没有。,,,,,源类型=type:txt_pb; 层级=22
24,旁白,hide,,,,他的指尖在那一刻僵住了，像是被冻在了冰里。他低头看着大卫的脸，那张原本就没什么血色的面孔此刻带着一种近乎安详的平静——像是睡着了一样，只是再也醒不过来了。,,,,,源类型=type:txt_pb; 层级=23
25,旁白,hide,,,,克拉克低着头，他的大半张人脸埋没在尸体投下的阴影之中，近在咫尺的死亡带走了他所有的表情，只有并不平静的声音连绵不断地从他咬紧的齿缝里溢了出来。,,,,,源类型=type:txt_pb; 层级=24
26,克拉克,hide,,,,你不应该这么做。,,,,,源类型=type:txt_Clark; 层级=25
27,旁白,hide,,,,他的第一句话很沉，平静得像一块光滑的石头，却带着能凿穿整个海面的，往下坠落的势能。,,,,,源类型=type:txt_pb; 层级=26
28,旁白,hide,,,,我们没有资格代替别人决定谁生谁死……更没有资格要求他……在毫不知情的情况下为任何理由献出生命。无论对方是谁，无论我们背负着什么理由！,,,,,源类型=type:txt_pb; 层级=27
29,克拉克,hide,,,,……无论大卫他自己是否愿意。,,,,,源类型=type:txt_Clark; 层级=28
30,旁白,hide,,,,他的话这里顿了一下，像是为积压在胸中的情绪找到了正义和公理之外的宣泄出口，这是一个非常私人的，近乎袒护的发言，但却远比那些关于公平与责任的大道理更能击碎你所谓的“道理”。,,,,,源类型=type:txt_pb; 层级=29
31,旁白,hide,,,,你站在他身后，张了张嘴，想说点什么——什么都可以，一句辩解、一句道歉、一句“他也会这么选”或者“没有其他办法”。但你的喉咙像是被什么东西堵住了，什么话都出不来。,,,,,源类型=type:txt_pb; 层级=30
32,旁白,hide,,,,不是因为你们最终并未得到真相的，失败的结果；而是这个以大义为借口的选择本身，从一开始就已站在了良知的对立面。,,,,,源类型=type:txt_pb; 层级=31
33,旁白,hide,,,,你的沉默像是一块浸了水的棉絮，沉甸甸堵在彼此之间紧凑的空气里，直到克拉克再度打破了它，正如他三言两语就打破了你自以为是的大义。他转过头，湛蓝的双眸如同结了冰的湖面，倒映着你不知所措的面庞。,,,,,源类型=type:txt_pb; 层级=32
34,克拉克,hide,,,,刚刚为什么不和我......,,,,,源类型=type:txt_Clark; 层级=33
35,旁白,hide,,,,话音刚落，他的声音便戛然而止。不是因为说完了，而是被什么东西打断了。,,,,,源类型=type:txt_pb; 层级=34
36,旁白,hide,,,,你的视线越过他的肩膀，看到大卫正坐在那把电椅上，手里握着一把不知道什么时候从腰间拔出的枪。他的动作很慢，仿佛刚从一场长梦里醒来，还没完全适应自己的身体。,,,,"bgfade(sntzm_ending4(1)_36,1)",源类型=type:txt_pb; 层级=35
37,旁白,hide,,,,只见一把他拨开克拉克微微前倾的身体，手电与地面接触时发出的“哐当”声让你心头一震，他先是转了下转因长时间被绑而有些发酸的颈椎，然后把枪口调转了个方向，对准了你。,,,,,源类型=type:txt_pb; 层级=36
38,旁白,hide,,,,你连连退了好几步，不只是因为对死亡威胁的生理性恐惧，更因为你无法面对那份愧疚，无法面对那张被你亲自按下开关，送进鬼门关的脸。,,,,,源类型=type:txt_pb; 层级=37
39,旁白,hide,,,,你连连退了好几步，不只是因为对死亡威胁的生理性恐惧，更因为你无法面对那份愧疚，无法面对那张被你亲自按下开关，送进鬼门关的脸。,,,,,源类型=type:txt_pb; 层级=38
40,旁白,hide,,,,直到你的脚后跟撞上冰冷控制台的边缘，被你刚刚按下的那颗按钮物理性地拦在原地。你才终于意识到发生了什么似得，朝开枪的人发出了带着颤抖的疑问。,,,,,源类型=type:txt_pb; 层级=39
41,你,hide,,,,大卫？！你做什么？,,,,,源类型=type:txt_You; 层级=40
42,旁白,hide,,,,大卫没有回答。他的眼神还带着那种刚从昏迷中醒来的模糊，但握枪的手却稳得出奇，像是不需要任何瞄准，就已经知道该往哪个方向扣动扳机。,,,,,源类型=type:txt_pb; 层级=41
43,你,hide,,,,亚波伦，他是不是对你做过什么......,,,,,源类型=type:txt_You; 层级=42
44,旁白,hide,,,,话音未落，两声新的枪响便粗暴地撕裂了你的耳膜，那是对倒地的克拉克补上的两枪，精准、干脆、毫不迟疑，仿佛倒在那里的只是任务中需要解决的一个目标，而你是下一个。,,,,"bgfade(sntzm_ending4(1)_44,1)",源类型=type:txt_pb; 层级=43
45,旁白,hide,,,,还没等你在一刹的惊诧间举枪反击，那只枪口就又瞄了过来，8发的弹夹里现在至少还装着4枚子弹，只需命中一发就足以让你的脑壳像西瓜般炸开。,,,,,源类型=type:txt_pb; 层级=44
