ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,你的目光落在那颗正规律搏动的机械心脏上，在过去的几个小时里对它外形的种种想象在这一刻敲碎又重组，直至于与眼前活物的轮廓完全重合。,,,false,"bgfade(sntzm_gy(2)_62,1)",源类型=type:txt_pb; 层级=0
2,旁白,hide,,,,那是一种很难描述的感觉，明明只是一颗泡在营养液里的器官，其背后投射出的却是一个公司钻营数年的野心，无数条生命、无数的真相都系于这颗心脏之上。,,,,,源类型=type:txt_pb; 层级=1
3,旁白,hide,,,,每一次搏动都像是某个躲在幕布后的操盘手，不紧不慢地拨动着所有人的命运齿轮。,,,,,源类型=type:txt_pb; 层级=2
4,旁白,hide,,,,就在这时，一阵轻微的脚步声自培养罐后突兀地响起。先是一道阴影浮现，继而显现出一名男子的轮廓。,,,,"bgfade(sntzm_gy(2)_80,1)",源类型=type:txt_pb; 层级=3
5,旁白,hide,,,,这张面孔你们并不陌生，他简直就像是从外面那张照片里走出来的，无论是容貌举止，还是那抹淡淡的忧伤气息，都与照片中的盖曼别无二致。,,,,,源类型=type:txt_pb; 层级=4
6,旁白,hide,,,,那只灰白色的飞蛾不知何时已经飞到了他的肩上，翅膀缓缓张开又合拢，像是一枚完成任务后凯旋而归的信使，在自己主人的身上邀功。,,,,,源类型=type:txt_pb; 层级=5
7,旁白,hide,,,,克拉克向前走了两步，一如在3楼的幻觉中看到的那样，用自己高大的躯体将你们护在身后。套筒和枪身在片刻间便完成了分离，枪口稳稳指向来者，脸上写满了戒备。,,,,,源类型=type:txt_pb; 层级=6
8,克拉克,hide,,,,亚波伦？还是......,,,,,源类型=type:txt_Clark; 层级=7
9,？？？,hide,,,,比他早了37年的原始版本，年轻人。,,,,,源类型=type:txt_Un; 层级=8
10,旁白,hide,,,,男人摆了摆手，出声打断了克拉克警惕的质问。他的声线比亚波伦略低一些，更轻更柔，仿佛声带已经很久没有用来和人交谈过了。,,,,"bgfade(sntzm_gy(2)_66,1)",源类型=type:txt_pb; 层级=9
11,？？？,hide,Gaiman_default,,,我是盖曼·阿门努斯，你们一路找来，总该对这个名字有点印象才对。,,,,"charfadein(L,1)",源类型=type:txt_Un; 层级=10
12,旁白,hide,Gaiman_default,,,他的嘴角没有笑意，但也没有敌意。看向你们的目光像是一个人在翻阅一本很久以前读过的书。熟悉，却不再执着于记住上面的每一个字。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=11
13,你,hide,,,,盖曼......,,,,,源类型=type:txt_You; 层级=12
14,旁白,hide,,,,克拉克放微微把枪口压低了几度，语气中的警惕和试探却分毫不减。,,,,,源类型=type:txt_pb; 层级=13
15,克拉克,hide,Clark_default,,,这里是哪里？你一个人又在这里做些什么？新闻上报道你称已经失踪了许多年，没人知道你一直躲在医院的地下室。,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=14
16,旁白,hide,Clark_default,,,你们并不奢求从这个问题中得到所有的答案，但倘若他真的是那个盖曼.阿门努斯，那他便无疑是那个真正站在一切的起点，知晓并经历了这一切的那个人。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=15
17,盖曼,hide,Gaiman_default,,,……这里是我意识中最后一片没有被亚波伦侵占的区域。,,,,"charfadein(L,1)",源类型=type:txt_Gaiman; 层级=16
18,旁白,hide,Gaiman_default,,,他的语气平稳，但你能听出那种平稳是像用一层薄冰盖住深水的结果。,,,,,源类型=type:txt_pb; 层级=17
19,盖曼,hide,Gaiman_default,,,只要我还在这里，盖亚之心就不会被他染指。这是我最后的办法了。,,,,,源类型=type:txt_Gaiman; 层级=18
20,旁白,hide,Gaiman_default,,,大卫的眉头拧得更紧了一些，他的目光扫过培养罐里跳动的心脏，又落回盖曼那张温和却疲惫的脸上，仿佛正评估着两者之间存在的某种联系。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=19
21,旁白,hide,,,,,,,,,源类型=type:exeBC; 层级=20
22,大卫,hide,David_default,,,意识？话说能不能用点不那么抽象的概念？,,,,"charfadein(L,1)","源类型=type:txt_David; 层级=21; wherelist={""wheretype"":""1"",""wheredatas"":[{""sortnum"":""1"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""无视飞蛾（克拉克）"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]}]}"
27,旁白,hide,David_default,,,盖曼没有立即回答。他微微侧过头，看向那颗正在缓慢跳动的容器，嘴唇轻轻动了一下，像是在默数它的搏动次数。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=22
28,盖曼,hide,Gaiman_default,,,字面意思，年轻人。关于你们脚下的这片地方，你们还有太多不知道的东西了。,,,,"charfadein(L,1)",源类型=type:txt_Gaiman; 层级=23
29,旁白,hide,Gaiman_default,,,他走近培养罐，抬起一只手，指尖轻轻按在玻璃壁面上，压根没有把身后那只对准自己的枪口放在眼里。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=24
37,你,hide,,,,在此之前我还有另一个问题，亚波伦自称和你共享同一颗大脑，但现在你们却以两幅不同的身体出现。,,,,,源类型=type:txt_You; 层级=25
38,你,hide,,,,我应该将其理解为他使用了某种幻术从电刑椅上逃掉，然后又跑到这里假扮该盖曼骗我们，还是说你们自始至终就是长相相似的两个完全不同的人？,,,,,源类型=type:txt_You; 层级=26
39,旁白,hide,,,,说着，他从背对你们的姿态下缓缓转过身，影子在玻璃容器的表面拉出长长的一条，恍惚间似乎闪出了两道重叠的轮廓。,,,,,源类型=type:txt_pb; 层级=27
40,盖曼,hide,Gaiman_default,,,他的确向你们隐瞒了一些重要的信息，但不是靠什么幻术，也不存在什么长相相似的骗局。你们会看到我和他在不同的地点相继出现的理由只有一个——,,,,"charfadein(L,1)",源类型=type:txt_Gaiman; 层级=28
41,盖曼,hide,Gaiman_default,,,这里，准确来说是整个医院，自始至终都是一场人为营造的梦境。,,,,,源类型=type:txt_Gaiman; 层级=29
42,你&克拉克&大卫,hide,Gaiman_default,,,！！,,,,"charfadeout(L,1)",源类型=type:txt_你&克拉克&大卫; 层级=30
43,旁白,hide,,,,这个消息像一块投入深潭的石子，在三人的心头砸开了满圈惊惶的涟漪。你死死盯着盖曼平静的脸，下意识向后退了半步。后背贴住冰凉的金属，触感却走神似得迟迟没有传来，仿佛有什么东西把周围一切都阻隔在了感知之外。,,,,,源类型=type:txt_pb; 层级=31
44,克拉克,hide,Clark_default,,,荒诞至极，我们是身负任务来这里回收盖亚之心的特工，如果你试图以这种方式故弄玄虚，妨碍我们完成公务，它通常不会奏效。,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=32
45,旁白,hide,Clark_default,,,克拉克把手中的配枪握得死紧，像溺水之人在涨潮时拼命抓紧一块浮木。理智、任务，还有手中毋庸置疑的暴力工具，是他此刻唯一能把自己锚定在“现实”这片土地上的抓手。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=33
46,大卫,hide,David_default,,,亚波伦......他也对我这么说过，在我被抓住的那段时间里......,,,,"charfadein(L,1)",源类型=type:txt_David; 层级=34
47,旁白,hide,David_default,,,大卫低垂的声线中显然夹带了比前者更多的迷茫，和他以往大大咧咧却向来斩钉截铁的样子判若两人。他没有立刻把这件事告诉你们，与其说是不信，不如说是不愿相信。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=35
48,旁白,hide,,,,他更相信身边鲜活的同伴能以行动驳倒对方的胡言乱语，再次把一切拉回到他所熟知的关于任务和冒险的日常之中。,,,,,源类型=type:txt_pb; 层级=36
49,旁白,hide,,,,但在亲眼目睹了现实崩解的超自然现象、下楼过程中的逼真幻觉，以及盖曼对梦境的解释之后，那些侥幸的小点，也终于跟着整个世界的轮廓一起摇晃起来。,,,,,源类型=type:txt_pb; 层级=37
50,盖曼,hide,Gaiman_default,,,好好回想一下你们一路经历的这一切，那些违背常理的细节，还有你们含糊其辞的任务，这些都是梦境的典型特征。你们的身体现在正身处现实中医院的造梦设备内部，地点就是现实中的这里，在那三台医疗器械上面。,,,,"charfadein(L,1)",源类型=type:txt_Gaiman; 层级=38
