ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,盖曼站在水中，浑身湿透，白大褂贴在身上，显出他远比你们以为的更瘦削的身形轮廓。那颗跳动的心脏被流出的营养液带出很远一段距离，刚好落在你们和盖曼之间。,,,false,,源类型=type:txt_pb; 层级=0
2,旁白,hide,,,,他二话不说便扑了上去，但克拉克的子弹却比他更快，子弹从一个刁钻的角度结结实实打在他的右侧大腿上。这一枪破坏了他的平衡，破坏的他的行动能力，也破坏了他和那颗心脏之间最后的一小段距离。,,,,,源类型=type:txt_pb; 层级=1
3,旁白,hide,,,,只听他发出一声压抑的闷哼，整个人向前扑倒，血水混在淡黄的营养液中泛起一片火焰般的橘黄，仿佛将那来自致幻药物的魔力完全耗尽在了这无力的一扑之中。,,,,,源类型=type:txt_pb; 层级=2
4,旁白,hide,,,,大卫一个箭步冲了上去，在盖曼还没来得及直起身子的空隙，把那颗还在跳动的机械心脏从混浊的液体中捞进了手里。,,,,"bgfade(sntzm_ending5(2)_4,1)",源类型=type:txt_pb; 层级=3
5,旁白,hide,,,,盖曼转身看向大卫，抬起手，像是又要召唤些什么。但这一次，无论飞蛾、火焰，还是其他的什么东西，它们都没有出现。空气里只剩下一片沉默。,,,,,源类型=type:txt_pb; 层级=4
6,旁白,hide,,,,他的手指在空气中僵硬了一下，像是触到了一堵看不见的墙。,,,,,源类型=type:txt_pb; 层级=5
7,旁白,hide,,,,不止如此，那些仅剩的，悬浮他身边的飞蛾身上也出现了某种异变——翅膀上的灰白色一点点剥落，从根部露出深暗的黑，像有一滴墨落在纸上，然后以极快的速度向周围扩散。,,,,,源类型=type:txt_pb; 层级=6
8,旁白,hide,,,,它们一只接一只地变黑、收缩、干瘪、像被烧尽的纸片一样从半空中飘落，触地即碎，化为细小的黑色粉末，沉入地底的无尽深渊之中。,,,,,源类型=type:txt_pb; 层级=7
9,旁白,hide,,,,盖曼的呼吸乱了。他睁大眼睛看着自己空无一物的手掌，又抬头看向大卫。,,,,,源类型=type:txt_pb; 层级=8
10,旁白,hide,,,,有什么东西在那个夺走自己心脏的男人身上短暂地浮现了一瞬，像是一个半透明的黑色的幽灵，将一些原本属于自己的东西，从他身上抢走了。,,,,,源类型=type:txt_pb; 层级=9
11,旁白,hide,,,,只见那只从一开始就停在他肩上的飞蛾，突然脱离了他的掌控。拍打着翅膀从他的肩上起飞，他下意识地想要伸出手去挽留，但这只动物却径直穿过了他的手掌，来到了大卫那条手持电棍的，左臂的肩头。,,,,,源类型=type:txt_pb; 层级=10
12,旁白,hide,,,,大卫站在那里，手里握着机械心脏，脸上的表情被火光熄灭后的昏暗遮去了大半。但盖曼却惊恐地从他那双似曾相识的赤色瞳孔里，看到了一种分明不属于大卫的，来自胜利者的戏谑和嘲弄。,,,,"bgfade(sntzm_ending5(2)_12,1)",源类型=type:txt_pb; 层级=11
13,盖曼,hide,,,,是你——！,,,,,源类型=type:txt_Gaiman; 层级=12
14,旁白,hide,,,,那个名字已经在他的喉咙里打转，可还没等他喊出声，一记势大力沉的棍砸便在电光火石之间落在了他的太阳穴上。挥出的轨迹很短，但力道极准。,,,,"bgfade(sntzm_ending5(2)_14,1)&parallel(playsfx(Punch);shake(screen,0.5,5))",源类型=type:txt_pb; 层级=13
15,旁白,hide,,,,浓厚的晕眩感瞬间攫住了盖曼，把那个即将宣之于口的秘密重新压回了深不见底的黑暗之中。他软软地倒了下去，潮湿黏腻的液体立刻漫过他的半边脸颊，就连最后一次张口也只能在水中浮起几颗细小的气泡。,,,,,源类型=type:txt_pb; 层级=14
16,旁白,hide,,,,眼前最后映入眼帘的画面，只剩下大卫那爽在黑暗中红得出血的眼睛，以及停在他肩头的那只，原本属于自己的，承载着真相与毁灭的飞蛾。,,,,,源类型=type:txt_pb; 层级=15
17,旁白,hide,,,,在他的视野彻底沉入黑暗的那一刻，那片模糊的白影也随着两片眼皮的彻底闭合，同化为了焦炭般的深黑色，然后汇入了那颗逐渐停跳的心脏之中。,,,,,源类型=type:txt_pb; 层级=16
18,你,hide,,,,干得好，大卫。,,,,"bgfade(sntzm_gy(ns2)_82,1)",源类型=type:txt_You; 层级=17
19,旁白,hide,,,,你迅速赶到同伴的身边，任由营养液混着血液漫过自己的裤腿。大卫被你的这一拍吓了一大跳，濡湿的小腿在浓稠的营养液里炸毛似的溅起一块水花。,,,,,源类型=type:txt_pb; 层级=18
20,旁白,hide,,,,克拉克把盖曼翻了个身，让他侧躺在地上，以免那半张泡在营养液里的脸被自己的呕吐物堵住呼吸。他做这些的时候动作很轻，像是在处理一件随时可能碎裂的证物。,,,,,源类型=type:txt_pb; 层级=19
21,旁白,hide,,,,直到有些艰辛地完成这一切，他这才站起来，拍了拍膝盖上的液体，低头看着地上那个昏迷的男人，眉头拧成了一团。,,,,,源类型=type:txt_pb; 层级=20
22,克拉克,hide,Clark_default,,,你刚才下手太重了，大卫。,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=21
