ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,前情提要——,,,false,,源类型=type:txt_pb; 层级=0
2,旁白,hide,,,,一周前，身为联邦调查局探员的你们接到了一个由FBI分局指派的任务，任务要求你们潜入一家名为“圣诺汀”的废弃精神病院，回收代号为“盖亚之心”的科技造物。,,,,"bgfade(mainmenu,1)",源类型=type:txt_pb; 层级=1
3,旁白,hide,,,,你的两位同伴——克拉克和大卫于任务当天的晚上8点半驱车至医院门口。,,,,"bgfade(sntzm_main2_1,1)",源类型=type:txt_pb; 层级=2
4,旁白,hide,,,,或许是由于昨夜的醉宿，当你准备从工具箱内取出配枪和手电时，眼前竟闪过一片诡异的重影——配枪变成了针筒、而手电则化为了相机。,,,,,源类型=type:txt_pb; 层级=3
5,旁白,hide,,,,当时，你是否有将这一信息告诉了自己的同伴？,,,,,源类型=type:txt_pb; 层级=4
6,旁白,hide,,,,,,,,choice(是|jump(9))&choice(不是|jump(8)),源类型=type:selectBC; 层级=5
7,旁白,hide,,,,,,,,,源类型=type:txt_pb; 层级=6
9,旁白,hide,,,,不久后，你们从医院正门进入了一层的大厅。经过一段时间的探索，一只灰白的飞蛾突兀地出现在你们眼前，它拍打着翅膀飞入走廊深处，与此同时……身上的无线电也很不凑巧地响起。,,,,"bgfade(sntzm_main2_61,1)",源类型=type:txt_pb; 层级=7; tag=告知
10,旁白,hide,,,,你们当时的选择是？,,,,,源类型=type:txt_pb; 层级=8
11,旁白,hide,,,,,,,,choice(追上飞蛾|jump(15))&choice(接听无线电|jump(13)),源类型=type:selectBC; 层级=9
12,旁白,hide,,,,,,,,,源类型=type:txt_pb; 层级=10
14,旁白,hide,,,,,,,,,源类型=type:exeBC; 层级=11
15,旁白,hide,,,,你们成功追上了那只飞蛾，它将你们带到了一面挂满医生照片的墙壁附近。一位医生的半身照鹤立鸡群地立于照片墙的正中央，经过资料搜索，你们确认其名字为盖曼.阿门努斯,,,,"jump(17)&bgfade(sntzm_fe_9,1)","源类型=type:txt_pb; 层级=12; wherelist={""wheretype"":""1"",""wheredatas"":[{""sortnum"":""1"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""飞蛾线"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]}]}; gotomainline=17; tag=飞蛾线"
