ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,综合考虑各种因素后，你打算如何回应同伴的问询？,,,false,"bgfade(sntzm_david313-315(4)_1,1)",源类型=type:txt_pb; 层级=0
2,旁白,hide,,,,,,,,choice(如实相告且大胆怀疑|jump(5))&choice(模糊细节并视作陷阱|jump(71)),源类型=type:selectBC; 层级=1
3,旁白,hide,,,,,,,,,源类型=type:txt_pb; 层级=2
5,旁白,hide,,,,针筒、仪器、还有那些围在一起的白大褂，你将自己在幻觉中看到的一切简短而详实地告知了你此刻唯一能够信任的同伴，期待着两颗脑袋窦在一起能凑出一幅更加完整的拼图。,,,,,源类型=type:txt_pb; 层级=3; 选项/备注=种种巧合连在一起即是真相（探索幻觉路线）
6,旁白,hide,,,,短短六十秒内，大卫赤色瞳孔里的情绪就像坐过山车一样经历数轮转变。从最初的困惑到中途的凝重，最终染上了一层细思极恐的暗红。,,,,,源类型=type:txt_pb; 层级=4
7,大卫,hide,,,,所以，你的意思是，除了履历上的内容外，你小子还在这破地方接受过精神改造？,,,,,源类型=type:txt_David; 层级=5
8,旁白,hide,,,,他故意摆出了一副轻松幽默的口吻，好像这样就能压制心中的震惊。,,,,,源类型=type:txt_pb; 层级=6
9,你,hide,,,,不是我，而是我们。,,,,,源类型=type:txt_You; 层级=7
10,你,hide,,,,那些医生提到的实验者不止我一个，虽然没有明确说出你们的名字，但从丢失记忆的共性这一点来看......如果刚好又把我们三个派来执行这次任务，这未免有些太过巧合了吧。,,,,,源类型=type:txt_You; 层级=8
11,旁白,hide,,,,你尽力让自己的语气显得平静，仿佛探讨的话题与自己无关。但语气中些微的颤抖还是出卖了这份故作姿态的冷静。,,,,,源类型=type:txt_pb; 层级=9
12,你,hide,,,,我知道这听起来很离谱，可姐姐的记者证就是在床下找到的，这种私人物品原本不可能出现在这里，但如果是我......在过去的某个时间点，自己遗留于此处，被原封不动地复制一份也就不奇怪了。,,,,,源类型=type:txt_You; 层级=10
13,旁白,hide,,,,他听完你的话沉默了好一会儿，刚才刻意绷着的笑意彻底消失，眉头在脸上拧成了一个死结。这一切太过荒唐，又来得过于突然，换作任何人都不可能立刻消化得下这样的信息。,,,,,源类型=type:txt_pb; 层级=11
14,旁白,hide,,,,,,,,,源类型=type:exeBC; 层级=12
15,大卫,hide,,,,好吧......,,,,,"源类型=type:txt_David; 层级=13; wherelist={""wheretype"":""2"",""wheredatas"":[{""sortnum"":""1"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""告知"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]},{""sortnum"":""2"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""安慰"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]}]}"
17,旁白,hide,,,,良久，他这才半信半疑地默认了你的说法，语气中夹杂着显而易见的勉强。,,,,,源类型=type:txt_pb; 层级=14
18,大卫,hide,,,,假设你说的这些都是真的，那我们三个又是什么时候被抓进这鬼地方做的记忆改造？我们一起搭伙都快四年了，要是真在这里待过，怎么可能一点痕迹都留不下来？,,,,,源类型=type:txt_David; 层级=15
19,旁白,hide,,,,“如果不是他们主动进来调查，这个发现恐怕还要再推迟个半年。”这是幻觉中领头的白大褂的原话，如果他指的是我们，那么有没有可能是在某次任务里，被他们抓获了。,,,,,源类型=type:txt_pb; 层级=16
20,你,hide,,,,至于痕迹，既然能消除我们的记忆......,,,,,源类型=type:txt_You; 层级=17
21,旁白,hide,,,,话音刚落，你便听到了大卫理直气壮的反驳。,,,,,源类型=type:txt_pb; 层级=18
22,你,hide,,,,我指的是FBI那边的人事档案，每次任务结束后都有全身检查，而且特工被抓获，就算没有及时靠定位组织营救，局里也不可能完全没有档案记录。,,,,,源类型=type:txt_You; 层级=19
23,大卫,hide,,,,退一万步讲，如果我们真被人开过脑子。上面还会派我们三个在没有外力监督的情况下执行这个任务？就那个夜莺......现在已经被拿下了。她甚至可能都不是真正的联络员。,,,,,源类型=type:txt_David; 层级=20
24,旁白,hide,,,,“你们不是F......！”夜莺消失前的最后一句警告依旧回响在你耳边，她到底是认真的，还是说那真的如大卫说的一样，只是一个非官方人员的别有用心的误导。,,,,,源类型=type:txt_pb; 层级=21
25,旁白,hide,,,,你的脑子里飞快梳理着所有的线索碎片：从进入废弃医院开始撞见的那个孩子、克拉克的失踪、发疯的阿兰.斯科特，到现在这张刻着自己名字的金属卡片。,,,,,源类型=type:txt_pb; 层级=22
26,旁白,hide,,,,冥冥之中像是被什么人暗中引导着接近真相，而这个残酷的真相又似乎和夜莺最后的话语不谋而合。如果你们真的不是FBI的话......那会是什么？,,,,,源类型=type:txt_pb; 层级=23
