ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,你深吸一口气，尽力克制住住心中复杂的情绪波动，将话口转向了你们现在最关心，也最为紧要的话题——大卫。,,yy1-69,false,,源类型=type:txt_pb; 层级=0
2,你,hide,,,,听着，杰森......,,,,,源类型=type:txt_You; 层级=1
3,旁白,hide,,,,你看着他胸膛上那块刻有名字的，和艾米丽相同造型的胸牌，一字一句地安抚道,,,,,源类型=type:txt_pb; 层级=2
4,你,hide,,,,无论你现在是否信任我们，我们都需要你的帮助。我们的同伴.......大卫，他的重要性就像艾米丽对你一样，如果你能帮忙找到他。这个提包就送给你，就当是一次等价的交换，好吗？,,,,,源类型=type:txt_You; 层级=3
5,旁白,hide,,,,和克拉克出于纯粹正义感的庄严誓词不同，你采取了一种更加务实，却也更为契合当前局面的谈判模式——用有偿的交易替代无偿的职责，这种平等的交易有时候往往比单方面的“拯救”更加值得信赖。,,,,,源类型=type:txt_pb; 层级=4
6,旁白,hide,,,,你拿出了之前被大卫赠予的，只有你们彼此才认识的信物，放在了杰森起伏不定的脊背上。那是一只琥珀色的铜制钢笔，烫金的金属表面在苍白的月光下反射出火焰般的纹理，就像他本人一样，热诚而炽烈。,,,,"bgfade(sntzm_davidBranch_6,1)",源类型=type:txt_pb; 层级=5
7,旁白,hide,,,,男孩剧烈耸动的身体微微迟疑了一下，仿佛在仔细感受那支笔留在后背上的，带着记忆的余温。他的触感，在失去视力的这段日子里早已变得比常人更加敏锐。,,,,,源类型=type:txt_pb; 层级=6
8,旁白,hide,,,,那块金属中带着人类体温的暖意，此刻竟让他狂乱的心跳慢慢安稳下来，变得缓慢而顺畅。,,,,,源类型=type:txt_pb; 层级=7
9,旁白,hide,,,,他沉默了很久，久到窗外的风都停下了呼啸，整个走廊只剩下他粗重的呼吸声在来回飘荡。,,,,,源类型=type:txt_pb; 层级=8
10,旁白,hide,,,,你能感觉到他孱弱的肩膀一直抖得厉害，像是在与内心的恐惧进行艰难的搏斗。或许是在仅存的一丝良心的驱使之下，他终于还是缓缓张开了那张沾着血的，紫青色的嘴唇。,,,,,源类型=type:txt_pb; 层级=9
11,网瘾学徒,hide,wy_w,,,......就在楼上，一间我也不知道功能的暗室里，大约......四楼左右的位置，在那儿总能听到一丝微弱的电流声。,,,,"charfadein(L,1)",源类型=type:txt_Wyxt; 层级=10
12,旁白,hide,wy_w,,,他把声音压得很低，像是在躲避着某种无处不在的鬼魂，克拉克敏锐地洞察到了这个微小的细节，湛蓝色的犀利眼眸警惕地望向墙角，随即果断抬起枪口，一枪将那里的摄像头崩得稀烂。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=11
13,你,hide,,,,克拉克？,,,,,源类型=type:txt_You; 层级=12
14,克拉克,hide,Clark_default,,,例行警戒而已，既然是在更高层的位置，对方可能正监视我们的一举一动。,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=13
15,旁白,hide,Clark_default,,,你仔细一想，之前的许多线索一下子联系了起来。杰森说“自己也不知道功能”的房间，说明这一切行动都是受人指使。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=14
16,旁白,hide,,,,结合更早之前的那句“回到了老师身边”，说明这座废弃的医院里，除了发疯的病人和遍地的狼藉，还有一个躲在幕后的人一直在暗处操控着这里的一切。,,,,,源类型=type:txt_pb; 层级=15
17,你,hide,,,,杰森......,,,,,源类型=type:txt_You; 层级=16
18,旁白,hide,,,,,,,,,源类型=type:exeBC; 层级=17
19,旁白,hide,,,,你模仿着他的语气把声音压低，以此展现自己不会透露他“擅自告密”的友好立场。,,,,,"源类型=type:txt_pb; 层级=18; wherelist={""wheretype"":""1"",""wheredatas"":[{""sortnum"":""1"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""谈判"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]}]}"
21,你,hide,,,,关于你的那位“老师”，能否向我们多透露一点？他是什么人......又为什么要把大卫抓走？,,,,,源类型=type:txt_You; 层级=19
22,旁白,hide,,,,当你提到“老师”这两个字时，你感觉男孩的呼吸猛地一窒，像是被一只无形的手死死掐住了脖子。,,,,,源类型=type:txt_pb; 层级=20
23,网瘾学徒,hide,wy_w,,,不......别再说了。你们已经问得够多了......,,,,"charfadein(L,1)",源类型=type:txt_Wyxt; 层级=21
24,旁白,hide,wy_w,,,他举起那双被铐起来的手臂，将那张因恐惧而扭曲的面容遮得严严实实。仿佛稍微露一点皮，就会迎面挨上一发不知从哪里射出的子弹。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=22
25,克拉克,hide,Clark_default,,,杰森，我们只是想弄清这里发生了什么。那些实验、还有这场大火......,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=23
26,旁白,hide,Clark_default,,,他放缓了语气，尽量让声音听起来温和不具压迫感。,,,,,源类型=type:txt_pb; 层级=24
27,克拉克,hide,Clark_default,,,那些子弹......,,,,,源类型=type:txt_Clark; 层级=25
28,旁白,hide,Clark_default,,,他说着，目光落在地上散落的弹壳上，神色中多出了几分探寻的悲悯。,,,,"bgfade(sntzm_davidBranch_28,1)",源类型=type:txt_pb; 层级=26
29,克拉克,hide,Clark_default,,,它们不是正常人可以躲过的，他们对你做了什么？你的老师，他......,,,,,源类型=type:txt_pb; 层级=27
