ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,Clark_default,,,走廊里内焦臭味依旧，它们就像器官里的癌细胞，贪婪地吞噬着残存的氧气。,,horror-free,false,"charfadeout(L,1)&bgfade(sntzm_david1_124,1)&unlockmusic(Music11)",源类型=type:txt_pb; 层级=0
2,旁白,hide,,,,你们的影子在光线中拉得很长，在布满裂痕的墙壁上扭曲、变形，仿佛随时会挣脱束缚，变成新的怪物。,,,,,源类型=type:txt_pb; 层级=1
3,旁白,hide,,,,你们小心翼翼地检查着每一个房间，门大多虚掩着，轻轻一推便会发出“吱呀”的声响。,,,,,源类型=type:txt_pb; 层级=2
65,旁白,hide,,,,房间内部的景象大同小异：散落的医疗器械、布满污渍的病床、破碎的窗户，以及无处不在的灰尘和蛛网。,,,,,源类型=type:txt_pb; 层级=2
4,旁白,hide,,,,克拉克仔细地搜索着每一个角落，他的手指拂过床头柜上生锈的金属盘，在盘底发现了半枚血红的指纹——不是大卫的，那纹路过于纤细，更像是属于某个女性。,,,,"bgfade(sntzm_clark2_4,1)",源类型=type:txt_pb; 层级=3
5,旁白,hide,,,,你则注意到靠窗那张病床的床单有被人拖拽过的痕迹，边缘还勾着一根深棕色的头发，长度及肩，显然也不属于你们队伍里的任何男性成员。,,,,,源类型=type:txt_pb; 层级=4
6,旁白,hide,,,,在精神病院，你很难真正避免一些由于病理学因素而爆发的肢体冲突。但就现场留下的痕迹来看，发生在这里的打斗可谓全无克制，地上的抓痕和玻璃上凝固的血液清晰可见。,,,,,源类型=type:txt_pb; 层级=5
7,旁白,hide,,,,窗帘上那大面积的扇形喷溅状轨迹，看起来并非单纯由火灾中的挣扎与扑打所造成，更像是有人用锋利的碎玻璃片，凶狠地割开了另一个人的喉咙。,,,,,源类型=type:txt_pb; 层级=6
8,克拉克,hide,Clark_default,,,这是这层楼的最后一间病房，看来他当时应该绕了路。,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=7
9,旁白,hide,Clark_default,,,他强迫自己忽视现场留下的种种令人不安的痕迹，将全部注意力集中于找到大卫这唯一的目标上。而你需要担心的似乎更多，不仅仅是来自外部环境的，一切可能的威胁。还有那无处不在，不知何时又会找上你的，该死的幻觉。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=8
10,你,hide,,,,你不觉得这间病房有些古怪么？如此大面积的鲜血以及斗殴痕迹，还有床上里三层外三层的束缚带。怎么看都不像是用来关押普通病人的。,,,,,源类型=type:txt_pb; 层级=9
11,旁白,hide,,,,你忍不住用上了“关押”这个词，两个字背后的分量令人不寒而栗，却又与周围的环境出奇地契合。这间病房靠近安全通道的楼梯口，位置偏僻，原本就适合用来安置某些不适合被外人知晓的特殊病人。,,,,,源类型=type:txt_pb; 层级=10
12,克拉克,hide,Clark_confused,,,可能是火灾发生时，一些没来得及打药的病人趁乱挣脱了束缚。任务资料里有提过，当时医院发生了极其严重的暴力冲突。,,,,"charfadein(L,1)",源类型=type:txt_pb; 层级=11
13,旁白,hide,Clark_confused,,,他一边回答一边蹲下身，拨开墙角积灰的碎玻璃，露出了被盖住的半枚黄铜铭牌，上面刻着潦草的名字缩写。,,,,"bgfade(sntzm_clark2_13,1)",源类型=type:txt_pb; 层级=12
14,克拉克,hide,Clark_confused,,,艾米丽.沃德森。,,,,,源类型=type:txt_Clark; 层级=13
15,旁白,hide,Clark_confused,,,他将它轻声念了出来，不出意料是个女人的名字，只是不知道它到底属于这间病房里的护士，还是病人本身。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=14
16,你,hide,,,,大厅的医生照片墙上有看到过这个名字吗？,,,,,源类型=type:txt_You; 层级=15
17,旁白,hide,,,,克拉克摇了摇头，顺手将铭牌收进包里。,,,,,源类型=type:txt_pb; 层级=16
