ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,,,yy1-69,false,"bgfade(sntzm_yy_1,1)&unlockmusic(Music8)",源类型=type:exeBC; 层级=0
2,旁白,hide,,,,你选择留在同伴身边，先听听总部究竟有何指示。可当那只飞蛾从你眼皮底下彻底消失的瞬间，一种怅然若失的遗憾感却悄然缠上了你的心头。,,,,,"源类型=type:txt_pb; 层级=1; wherelist={""wheretype"":""1"",""wheredatas"":[{""sortnum"":""1"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""夜莺线"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]}]}"
3,旁白,hide,,,,随着通讯中的电磁杂音渐渐散去，一个清冷的女声重新打破了这短暂的沉寂。,,,,,源类型=type:txt_pb; 层级=2
4,索菲亚,Sophia_headcut,,,,能听到吗？这里是FBI技术支援部......我是你们本次任务的联络员，代号“夜莺”。,,,,,源类型=type:txt_Sophia; 层级=3
5,旁白,hide,,,,她的语速比常人快了些，像是在赶时间，但这种专业而冷静的支援，正是你们此刻最需要的。,,,,,源类型=type:txt_pb; 层级=4
6,克拉克,hide,Clark_confused,,,技术支援？我们可没收到这类通知。,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=5
7,索菲亚,Sophia_headcut,Clark_confused,,,临时增派。“盖亚之心”的热信号出现了波动，总部担心你们可能遇到麻烦。,,,,"charfadeout(L,1)",源类型=type:txt_Sophia; 层级=6
8,旁白,hide,,,,大卫从她的话里敏锐地察觉到一丝异常，立刻见缝插针地追问道：,,,,,源类型=type:txt_pb; 层级=7
9,大卫,hide,David_default,,,麻烦？这里别说活人，连只活耗子都找不到。有什么能威胁到我们三个荷枪实弹的特警？,,,,"charfadein(L,1)",源类型=type:txt_David; 层级=8
10,旁白,hide,David_default,,,通讯那头沉默了一瞬，与其说是在思考，倒更像是完成了一次简短而果断的决策。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=9
11,索菲亚,Sophia_headcut,,,,现在还无法确定，你们只需知道，目标大致位于住院大楼的5层，主体楼梯结构已严重受损，建议从东侧应急通道绕行。,,,,,源类型=type:txt_Sophia; 层级=10
12,旁白,hide,,,,大卫看了你一眼，你能从他的目光里捕捉到一丝尖锐的怀疑。你按下通话键，压低声音回复道,,,,,源类型=type:txt_pb; 层级=11
13,你,hide,,,,收到，还有其他信息吗？,,,,,源类型=type:txt_You; 层级=12
14,旁白,hide,,,,她思索片刻，随即以一种不确定的语气向你们抛出了一个奇怪的问题。,,,,,源类型=type:txt_pb; 层级=13
15,索菲亚,Sophia_headcut,,,,你们三个......有没有出现剧烈的头痛或者不适？  ,,,,,源类型=type:txt_Sophia; 层级=14
16,旁白,hide,,,,你心头一紧，医院大门前的那场幻觉还历历在目，而现在，它就像一只灌满泥浆的气球，被人猛地戳爆。,,,,,源类型=type:txt_pb; 层级=15
17,旁白,hide,,,,你下意识偏过头看了眼身边的两个队友，克拉克正皱着眉检查武器，大卫则不以为意地耸了耸肩，似乎只有你一人深陷幻觉的困扰。,,,,,源类型=type:txt_pb; 层级=16
