ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,,,,false,,源类型=type:exeBC; 层级=0
2,旁白,hide,,,,他尝试退回到刚刚呆过的隔间，但对四周环境的崩坏毫无影响，裂痕顺着墙面朝着穹顶疯狂蔓延，水泥碎块混着灰尘噼里啪啦砸落，原本还能立足的地板从中间裂开一道深不见底的鸿沟。险些让你们掉进这伸手不见五指的深渊。,,,,"bgfade(sntzm_gy(1)_2,1)&parallel(playsfx(RubbleCrash);shake(screen,0.5,10))",源类型=type:txt_pb; 层级=1
5,索菲亚,hide,Sophia_default,,,够了，跑起来！,,,,"charfadein(L,1)",源类型=type:txt_Sophia; 层级=2
6,克拉克,hide,Sophia_default,,Clark_default,往哪儿？,,,,"charfadein(R,1)",源类型=type:txt_Clark; 层级=3
7,索菲亚,hide,Sophia_default,,,还在亮着的位置！,,,,"charfadeout(R,1)",源类型=type:txt_Sophia; 层级=4
8,旁白,hide,Sophia_default,,,说完，她第一个冲了出去，指尖在墙壁崩塌扬起的灰尘里划出一道模糊的弧线，暗红的应急灯光追着她的背影往手术室的门口一路延伸，像一条染血的红毯。,,,,"charfadeout(L,1)&bgfade(sntzm_gy(1)_8,1)",源类型=type:txt_pb; 层级=5
9,旁白,hide,,,,你和克拉克紧随其后，把最虚弱的大卫护在中间，沿着唯一连通外界的走廊向外狂奔，现实的瓦解紧随不舍，一块块剥落的墙砖擦着耳廓砸落在地面上，身后是如浓稠墨汁般不断蔓延的黑暗。,,,,,源类型=type:txt_pb; 层级=6
10,旁白,hide,,,,一只黑色的飞蛾从这片黑暗中狼狈地飞出，在带起一阵腥甜的气流擦过你的脸颊，它歪歪扭扭撞地落在大卫的肩膀上，扑腾了好几下才重新稳住身形，像一根羽毛，或是一根尚未点燃的引信。,,,,jump(3),源类型=type:txt_pb; 层级=7; gotomainline=3
3,旁白,hide,,,,当你们冲过楼梯拐角时，地面的震颤幅度减小了些许，仿佛一头刚刚发完脾气的巨兽正在缓慢地平息呼吸。,,,,"bgfade(sntzm_gy(1)_3,1)",源类型=type:txt_pb; 层级=1
16,旁白,hide,,,,但你们不敢停、甚至不敢放慢脚步，生怕一个回头的功夫就会被席卷而来的黑暗撞碎在原地。,,,,,源类型=type:txt_pb; 层级=2
17,旁白,hide,,,,,,,,,源类型=type:exeBC; 层级=3
18,旁白,hide,,,,索菲亚跑在最前面。她的白大褂在应急灯的暗红光线中上下翻飞，像一只被惊起的鸟。,,,,,源类型=type:txt_pb; 层级=4
20,旁白,hide,,,,脚尖每一次落地都精准地碾向楼梯转角的下一级台阶，仿佛她早就知道这条路的终点在哪里——只是在这之前，她一直缺少一个必须走到底的理由。,,,,jump(19),源类型=type:txt_pb; 层级=5; gotomainline=19
19,旁白,hide,,,,身后的四楼长廊很快消失了，楼梯被压缩成窄窄的一条，只有一个方向可供你们前进。,,,,,"源类型=type:txt_pb; 层级=4; wherelist={""wheretype"":""1"",""wheredatas"":[{""sortnum"":""1"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""无视飞蛾（克拉克）"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]},{""sortnum"":""2"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""无视飞蛾（大卫）"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]},{""sortnum"":""3"",""way"":""="",""conditions"":[{""algorithm"":""+"",""valuetype"":""4"",""valuekey"":"""",""valuedata"":""立刻离开"",""dowlist4"":[]}],""targets"":[{""algorithm"":""+"",""valuetype"":""1"",""valuekey"":"""",""valuedata"":""1"",""dowlist4"":[]}]}]}"
21,旁白,hide,,,,一种前所未有的熟悉感攫住了你的思绪，不是具体的回忆，而是某种似曾相识的肢体语言在同样的场景下迎来了一次戏剧性的重演。,,,,,源类型=type:txt_pb; 层级=5
22,旁白,hide,,,,逃——逃离什么？为何而逃？这些零碎的记忆在你一片混沌的大脑内早已无迹可寻。,,,,,源类型=type:txt_pb; 层级=6
23,旁白,hide,,,,然而，这副曾经如此刻般奔跑过的身体，以及那如蛆附骨，如梦魇缠身般的恐惧和凉意却时刻提醒着你，有一场追猎曾真实发生过。位置是在这里……猎物正是你们。,,,,,源类型=type:txt_pb; 层级=7
24,旁白,hide,,,,当视线、脚步、地点与回忆在三楼的走廊处如同最精密的齿轮般彼此咬合之时，记忆的水晶球终于转到了它相对清晰的一面。其折射出的微光在日益坍塌的楼道间勾勒出数道朦胧白影，宛若被疾风卷起的陈旧相片。,,,,,源类型=type:txt_pb; 层级=8
25,旁白,hide,,,,那是三名身着白大褂的男子，在走廊尽头竭力狂奔，恰似一组正与你们逐步重合的镜像。紧随其后的不仅是无边扩散的黑暗，更有一群身穿制服、手持警棍与泰瑟枪的黑色身影。,,,,"bgfade(sntzm_gy(1)_25,1)",源类型=type:txt_pb; 层级=9
26,旁白,hide,,,,跑在最前面的那个人手里攥着一沓文件，纸张在跑动中翻飞。他的侧脸让你愣了一下，和你有着七分相似，只是轮廓更硬朗些，眉眼间还裹挟着被岁月磨掉的、那份年少轻狂的冲劲。,,,,,源类型=type:txt_pb; 层级=10
27,旁白,hide,,,,小个子的男人被夹在中间，就像现在的大卫——他的脸上混合着汗水和血污，手里的那台相机却始终保持着高举。快门声在剧烈晃动中接连响起，如同催命的鼓点，每一次按下都让身后的人影在镜头中放大了些许。,,,,,源类型=type:txt_pb; 层级=11
