ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,现在，作为场上唯一的变量，你打算如何帮助克拉克突破僵局？,,,false,,源类型=type:txt_pb; 层级=0
2,旁白,hide,,,,,,,,choice(以提包作为威胁|jump(3))&choice(掏出泰瑟枪应对|jump(4)),源类型=type:selectBC; 层级=1
3,旁白,hide,,,,以提包作为威胁,,,,,源类型=type:txt_pb; 层级=2; 选项/备注=试着兵不血刃地阻止战斗; tag=谈判
5,旁白,hide,,,,看着那只被他轻放在地的提包，你灵机一动。趁着他和克拉克难分难解之际，蹑手蹑脚地挪到它不足一尺的距离。,,audioatlant-total-war-epic-action-cinematic-trailer-main,,unlockmusic(Music18),源类型=type:txt_pb; 层级=3
6,旁白,hide,,,,等他在激斗中回过神来，你早已将它抢至手中，冰凉的金属枪口抵着柔软的真皮，仿佛手里拽着的是一件活物。,,,,,源类型=type:txt_pb; 层级=4
7,你,hide,,,,停手！不然我立刻就崩了她！,,,,,源类型=type:txt_You; 层级=5
9,旁白,hide,,,,你刻意用了“她”这个人称，正是基于对他先前话语中疯癫描述的敏锐洞察。,,,,,源类型=type:txt_pb; 层级=7
10,旁白,hide,,,,或许这个瞎了眼的男孩，是因为熟悉的气味，加之精神上的某种幻觉，将这块装有艾米丽名牌的挎包，当成了她本人，因此才会说出那些令人摸不着头脑的话语。,,,,,源类型=type:txt_pb; 层级=8
11,旁白,hide,,,,此话一出，缠斗中的两人瞬间顿住，不同于克拉克的脸上的诧异和茫然，男孩受到的刺激显然更加强烈，他全然忘记了身后还未失去战斗力的克拉克，脸上的表情恨不得立刻将你生吞活剥。,,,,,源类型=type:txt_pb; 层级=9
12,网瘾学徒,hide,,,,你们这群懦夫！没有人质就不会战斗了吗？！每次都是这样......每次都！,,,,,源类型=type:txt_Wyxt; 层级=10
13,旁白,hide,,,,话音未落，克拉克的手刀便已重重劈在了他的后颈，这是足以放倒一名成年男性的力量，就连眼前这个体质超常的怪物也无法完全抵消它的影响。,,,,,源类型=type:txt_pb; 层级=11
14,网瘾学徒,hide,,,,呜！,,,,"shake(screen,0.5,5)",源类型=type:txt_Wyxt; 层级=12
15,旁白,hide,,,,只听他一声惨叫，身体顿时被抽空了所有力量，连同脱手的利刃一起直愣愣地栽倒在地。,,,,,源类型=type:txt_pb; 层级=13
16,旁白,hide,,,,克拉克立刻压住他的手腕，以极其专业的手法迅速解除了他身上携带的所有武装——刀片、钉枪、麻醉针，每一把沾血的工具都无声放大着这个疯子潜在的危险性。,,leberch-horror-night,,"bgfade(sntzm_clark4_16,1)&unlockmusic(Music19)",源类型=type:txt_pb; 层级=14
17,旁白,hide,,,,他将它们踢到你脚边，枪口始终瞄准着敌人的后脑勺，时刻提防着他不知何时又会暴起的狂暴。,,,,,源类型=type:txt_pb; 层级=15
18,克拉克,hide,Clark_angry,,,够了，无论你口中的那些人是谁，我们都不是他们。现在，我要以妨害公务、绑架警员的罪名将你逮捕。,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=16
19,网瘾学徒,hide,Clark_angry,,,哼呵呵哈哈哈哈......,,,,"charfadeout(L,1)",源类型=type:txt_Wyxt; 层级=17
20,旁白,hide,,,,男孩笑了，他的笑声又低又哑，像一碗搅拌了玻璃和水泥的浑浊粥汤。,,,,,源类型=type:txt_pb; 层级=18
21,网瘾学徒,hide,,,,警察......别在那儿装模作样了！当初他们就是伪装成警察把我抓去那个鬼地方的！,,,,,源类型=type:txt_Wyxt; 层级=19
22,旁白,hide,,,,他猛地扭动脖子，几乎挣脱了克拉克半扣的力道，空洞的眼眶死死对着你和手里提包的方向，喉咙里挤出带着血沫的嘶吼：,,,,,源类型=type:txt_pb; 层级=20
