ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,盖曼把目光转向你。他将手伸入培养罐一侧的检修口，手掌穿过微微晃动的浅黄色液面，取出那颗包裹在薄薄一层透明膜中的机械心脏。,,,false,"bgfade(sntzm_gy(s2)_1,1)",源类型=type:txt_pb; 层级=0
2,旁白,hide,,,,它的搏动在失去电流供给的那一刻凝固了下来，身为一件没有生命的工具，一个没有承载任何信念的伪物，其最终的使命只有破坏——将那些蜷缩在现实里的始作俑者，拖入由他们亲手缔造的无边黑暗。,,,,,源类型=type:txt_pb; 层级=1
3,盖曼,hide,,,,把它带回去，这是我们唯一的机会了。,,,,,源类型=type:txt_Gaiman; 层级=2
4,旁白,hide,,,,他从培养罐侧面的卡槽里取出一只巴掌大的金属盒——表面没有漆，哑光银色，握在手里很轻，几乎感觉不到重量——那颗心脏在接触盒盖的瞬间融了进去，仿佛二者原本就互为一体。,,,,"bgfade(sntzm_gy(s2)_4,1)",源类型=type:txt_pb; 层级=3
5,旁白,hide,,,,你接过那只金属盒，指尖触到冰凉的表面时，隐约感觉到盒壁里有一阵极微弱的、像是心跳的振动，非常短暂，随即消逝。 ,,,,,源类型=type:txt_pb; 层级=4
6,旁白,hide,,,,盖曼收回手，整了整那件已经看不出原本颜色的白大褂的领口。他的手里终于已经没有任何需要托付的东西了。,,,,,源类型=type:txt_pb; 层级=5
7,旁白,hide,,,,索菲亚缓缓举起了枪口，准星稳稳落在盖曼的胸口，那里曾跳动着一颗为全人类谋福祉的心脏，此刻却只能成为送他走向生命终点的靶心。,,,,"bgfade(sntzm_gy(s2)_7,1)",源类型=type:txt_pb; 层级=6
8,旁白,hide,,,,但他没有丝毫的沮丧，目光始终轻抚在索菲亚的脸上，像是在告诉她——没事的。,,,,,源类型=type:txt_pb; 层级=7
9,盖曼,hide,,,,即便是现在……我依然把你当成我最骄傲的学生。,,,,,源类型=type:txt_Gaiman; 层级=8
10,旁白,hide,,,,磷粉在光柱里簌簌抖落，像一场无声的、专属于送行者的雪。,,,,,源类型=type:txt_pb; 层级=9
11,盖曼,hide,,,,不要浪费自己的生命......好好珍惜它。,,,,,源类型=type:txt_Gaiman; 层级=10
12,旁白,hide,,,,话终，人静。只有枪声短促地划破了房间里凝滞的空气。,black,,,"parallel(playsfx(GunShot);shake(screen,0.5,10))",源类型=type:txt_pb; 层级=11
13,旁白,hide,,,,盖曼的身体向后倒去，像是一本被合上的书，封面朝上。,,,,"bgfade(sntzm_gy(s2)_13,1)",源类型=type:txt_pb; 层级=12
14,旁白,hide,,,,一朵深色的血花在他的胸膛上缓缓绽开，为这片苍白的天地涂上了一层迟到的绯红。,,,,,源类型=type:txt_pb; 层级=13
15,旁白,hide,,,,那只飞蛾一头撞在头顶的灯泡上，在半空中不甘地拍动了几下翅膀，顺着光柱缓缓飘落，最后落在盖曼摊开的手心里。,,,,,源类型=type:txt_pb; 层级=14
16,旁白,hide,,,,灰白的色泽从它身上慢慢淡去，翅膀上的微光化作几颗闪烁的火星，像它生前曾触碰到那份光的某种证明，一点点融进那片还带着余温的绯红里。,,,,,源类型=type:txt_pb; 层级=15
17,旁白,hide,,,,火焰燃烧起来，从赴死之人的血液中升腾，先是吞掉了那片柔软的鳞翅，然后又裹着飞蛾消散的微光舔过盖曼的衣襟。,,,,"parallel(playsfx(FireIgnite);bgfade(sntzm_gy(s2)_17,1))",源类型=type:txt_pb; 层级=16
18,旁白,hide,,,,它的延伸速度并不慢，却带着一种克制的温柔，努力地避开房间内的每一个仍在呼吸的生命。,,,,,源类型=type:txt_pb; 层级=17
19,旁白,hide,,,,索菲亚的啜泣声在这一刻终于再也忍不住地爆发出来，像是一场积攒了多年的暴雨，将那些压抑在坚强面具之下的每一个委屈的夜晚都哭成了一片泥泞的汪洋。,,,,,源类型=type:txt_pb; 层级=18
20,旁白,hide,,,,克拉克朝你使了一个坚决的眼色，他的目光在你手中的盒子上停留了一瞬，提醒你还有最后的任务需要完成。,,,,,源类型=type:txt_pb; 层级=19
21,旁白,hide,,,,眼看房间里的火越来越大，你迅速整理好情绪，上前扶起索菲亚颤抖的身体。那些或安慰或沉重的话，在触及她身体的刹那，都尽数蒸腾为模糊的泡影。,,,,,源类型=type:txt_pb; 层级=20
22,旁白,hide,,,,它们散在你的喉咙里，被传染过来的巨大悲伤死死压抑着。只有手臂上拉扯的力量容纳着你在接连经受冲击后仍然保留的最后的理性。,,,,,源类型=type:txt_pb; 层级=21
23,你,hide,,,,我们得离开了。哪怕是为了盖曼，为了他的遗愿，你也要坚强地活下去。,,,,,源类型=type:txt_You; 层级=22
24,旁白,hide,,,,索菲亚点了点头，硕大的泪珠随着她起身的动作一颗颗砸在盖曼逐渐冰冷的手背上，砸在那片还在慢慢向上蔓延的火苗边缘。像是给这位已经走到了终点的旅者，添上最后一抔送行的尘土。,,,,,源类型=type:txt_pb; 层级=23
25,旁白,hide,,,,你能感觉到她整个人的重量都靠在了你的手臂上，整个人软得像是抽掉了支撑骨架的棉絮，只有双腿在老师遗志的驱使下一点点地挪向那三台连接着梦境出口的冰冷设备。,,,,"bgfade(sntzm_gy(s2)_25,1)",源类型=type:txt_pb; 层级=24
26,旁白,hide,,,,克拉克已经躺入了其中的一台，戴上了头盔，却没有立刻按下那个红色的启动按钮，而是等你一起做好返回现实的准备。但有一个人却没有跟过来——大卫仍站在盖曼倒下去的地方，背对着出口的方向，身影立在跳动的火光里。,,,,,源类型=type:txt_pb; 层级=25
27,旁白,hide,,,,你出声唤他的名字，他却对此充耳不闻，只是站在那里垂着头，看着地面上跳动的火光倒影，手指无意识地摩挲着右肩那片早已凝固的深色印记。,,,,,源类型=type:txt_pb; 层级=26
29,你,hide,,,,大卫！你疯了吗？这片火焰是盖曼梦境崩解的表现，再不离开我们都只能留下来和他陪葬！,,,,,源类型=type:txt_You; 层级=27
30,旁白,hide,,,,只见他站在离你们几步远的位置，目光正落在那片火焰上方，像是盯着某个正在缓慢成形的东西。,,,,,源类型=type:txt_pb; 层级=28
